"","BIOCHEMICAL","logFC","P.Value","adj.P.Val","Comp"
"FYB1","FYB1",2.7563198757764,6.25774007381629e-09,1.07117408449019e-05,"group2-group1"
"IGBP1","IGBP1",1.84629751552795,1.61845077707663e-08,1.07117408449019e-05,"group2-group1"
"CA13","CA13",3.19100450310559,1.71492007595619e-08,1.07117408449019e-05,"group2-group1"
"ANXA11","ANXA11",2.83442220496894,1.80213848656065e-08,1.07117408449019e-05,"group2-group1"
"CASP3","CASP3",2.17997267080745,1.949594988933e-08,1.07117408449019e-05,"group2-group1"
"EIF4E","EIF4E",2.50935714285714,2.1987836151013e-08,1.07117408449019e-05,"group2-group1"
"GIPC3","GIPC3",2.70421785714286,3.27413231941042e-08,1.10651465350894e-05,"group2-group1"
"GRAP2","GRAP2",3.14579083850932,3.40112694891971e-08,1.10651465350894e-05,"group2-group1"
"FKBP1B","FKBP1B",3.82430745341615,3.50000999983908e-08,1.10651465350894e-05,"group2-group1"
"EIF4G1","EIF4G1",2.30928291925466,3.78554448685917e-08,1.10651465350894e-05,"group2-group1"
"CRKL","CRKL",1.91016925465839,4.39296766049095e-08,1.16733131560137e-05,"group2-group1"
"CDKN2D","CDKN2D",3.12826863354037,5.6420562992399e-08,1.37431088022318e-05,"group2-group1"
"DTD1","DTD1",3.05473400621118,8.33672710092968e-08,1.5090856830142e-05,"group2-group1"
"DBNL","DBNL",2.29194208074534,8.36798902337224e-08,1.5090856830142e-05,"group2-group1"
"NT5C3A","NT5C3A",2.27475031055901,9.45477715838718e-08,1.5090856830142e-05,"group2-group1"
"RILPL2","RILPL2",2.21004177018634,9.57663728101981e-08,1.5090856830142e-05,"group2-group1"
"SNAP23","SNAP23",2.30119254658385,9.86320279111588e-08,1.5090856830142e-05,"group2-group1"
"SRC","SRC",2.56508198757764,1.00338797668413e-07,1.5090856830142e-05,"group2-group1"
"CXCL3","CXCL3",3.48516816770186,1.02722511510234e-07,1.5090856830142e-05,"group2-group1"
"PRKAR1A","PRKAR1A",2.30599161490683,1.05686450227747e-07,1.5090856830142e-05,"group2-group1"
"PPP1R12A","PPP1R12A",2.43857748447205,1.08418745615115e-07,1.5090856830142e-05,"group2-group1"
"IRAK4","IRAK4",2.07752096273292,1.15237854180645e-07,1.51943284350596e-05,"group2-group1"
"KIFBP","KIFBP",2.97344627329193,1.25916775920687e-07,1.51943284350596e-05,"group2-group1"
"ELAC1","ELAC1",1.9460700310559,1.33673498078484e-07,1.51943284350596e-05,"group2-group1"
"ENO1","ENO1",1.35802903726708,1.34840569621975e-07,1.51943284350596e-05,"group2-group1"
"PRDX5","PRDX5",2.11662344720497,1.35153109583151e-07,1.51943284350596e-05,"group2-group1"
"SKAP2","SKAP2",2.79075357142857,1.43872429448628e-07,1.55755226399385e-05,"group2-group1"
"GCC1","GCC1",2.27014720496894,1.67880151892366e-07,1.7525488713621e-05,"group2-group1"
"FXN","FXN",1.94493680124224,2.27273987362095e-07,2.29076505192898e-05,"group2-group1"
"NCK2","NCK2",2.12778291925466,2.38365787701191e-07,2.32247732483527e-05,"group2-group1"
"RWDD1","RWDD1",1.46164906832298,2.52210172844319e-07,2.34980803950618e-05,"group2-group1"
"YARS1","YARS1",4.20886040372671,2.57248912980492e-07,2.34980803950618e-05,"group2-group1"
