"","ID","X","EQUATION","GENE.ASSOCIATION","SUBSYSTEM","flux"
"1","MAR00003",2522,"1,2-diacylglycerol-chylomicron pool[e] + H2O[e] => 1-acylglycerol-chylomicron pool[e] + fatty acid-chylomicron pool[e]","ENSG00000006757 or ENSG00000079435 or ENSG00000100344 or ENSG00000101670 or ENSG00000114771 or ENSG00000134780 or ENSG00000164535 or ENSG00000166035 or ENSG00000170835 or ENSG00000175535 or ENSG00000177666 or ENSG00000182333 or ENSG00000187021 or ENSG00000203837 or ENSG00000266200","Acylglycerides metabolism",1000
"10","MAR00079",8184,"arginine[c] + H+[m] <=> arginine[m] + H+[c]","ENSG00000102743 or ENSG00000120329","Transport reactions",1000
"12","MAR00103",8208,"L-carnitine[c] + (2E)-hexadecenoyl-CoA[c] <=> CoA[c] + hexadecenoylcarnitine(9)[c]","ENSG00000110090 or ENSG00000169169 or ENSG00000205560","Fatty acid oxidation",212.626050819305
"18","MAR00109",8214,"CoA[m] + octadecenoylcarnitine(5)[m] <=> L-carnitine[m] + oleoyl-CoA[m]","ENSG00000157184","Fatty acid oxidation",-999.433515653884
"22","MAR00126",8231,"2 chloride[e] + H2O[c] => 2 chloride[c] + H2O[e]","ENSG00000225697","Transport reactions",500.09062883637
"44","MAR00217",1415,"AMP[c] + palmitoyl-CoA[c] + PPi[c] <=> ATP[c] + CoA[c] + palmitate[c]","ENSG00000068366 or ENSG00000103740 or ENSG00000123983 or ENSG00000130377 or ENSG00000140284 or ENSG00000151726 or ENSG00000164398 or ENSG00000197142 or ENSG00000239642","Fatty acid activation (cytosolic)",274.210256410257
"45","MAR00224",5186,"ATP[c] + H2O[c] + palmitate[c] => ADP[c] + H+[c] + palmitate[e] + Pi[c]","ENSG00000165029","Transport reactions",274.210256410257
"49","MAR00240",5193,"(10Z)-heptadecenoic acid[e] => (10Z)-heptadecenoic acid[c]","ENSG00000113396 or ENSG00000121769 or ENSG00000130304 or ENSG00000135218 or ENSG00000143554 or ENSG00000145384 or ENSG00000163586 or ENSG00000164434 or ENSG00000164687 or ENSG00000167114 or ENSG00000170231 or ENSG00000170323 or ENSG00000197416 or ENSG00000205186","Transport reactions",0.00146662613881196
"50","MAR00241",1419,"(10Z)-heptadecenoic acid[c] + ATP[c] + CoA[c] <=> (10Z)-heptadecenoyl-CoA[c] + AMP[c] + PPi[c]","ENSG00000068366 or ENSG00000103740 or ENSG00000123983 or ENSG00000130377 or ENSG00000140284 or ENSG00000151726 or ENSG00000164398 or ENSG00000197142 or ENSG00000239642","Fatty acid activation (cytosolic)",0.00146662613883564
"51","MAR00244",5195,"9-heptadecylenic acid[e] => 9-heptadecylenic acid[c]","ENSG00000113396 or ENSG00000121769 or ENSG00000130304 or ENSG00000135218 or ENSG00000143554 or ENSG00000145384 or ENSG00000163586 or ENSG00000164434 or ENSG00000164687 or ENSG00000167114 or ENSG00000170231 or ENSG00000170323 or ENSG00000197416 or ENSG00000205186","Transport reactions",0.00146662613881196
"52","MAR00245",1420,"9-heptadecenoyl-CoA[c] + AMP[c] + PPi[c] <=> 9-heptadecylenic acid[c] + ATP[c] + CoA[c]","ENSG00000068366 or ENSG00000103740 or ENSG00000123983 or ENSG00000130377 or ENSG00000140284 or ENSG00000151726 or ENSG00000164398 or ENSG00000197142 or ENSG00000239642","Fatty acid activation (cytosolic)",-0.00146662613883564
"53","MAR00248",5197,"stearate[e] => stearate[c]","ENSG00000113396 or ENSG00000121769 or ENSG00000130304 or ENSG00000135218 or ENSG00000143554 or ENSG00000145384 or ENSG00000163586 or ENSG00000164434 or ENSG00000164687 or ENSG00000167114 or ENSG00000170231 or ENSG00000170323 or ENSG00000197416 or ENSG00000205186","Transport reactions",0.545429598528143
