Node_1 Node_2
MAM03489c ENSG00000110090
MAM03489c ENSG00000169169
MAM03489c ENSG00000178537
MAM03489c ENSG00000205560
MAM03490c ENSG00000110090
MAM03490c ENSG00000169169
MAM03490c ENSG00000178537
MAM03490c ENSG00000205560
MAM03495c ENSG00000110090
MAM03495c ENSG00000169169
MAM03495c ENSG00000178537
MAM03495c ENSG00000205560
MAM03498c ENSG00000110090
MAM03498c ENSG00000169169
MAM03498c ENSG00000178537
MAM03498c ENSG00000205560
MAM03499c ENSG00000110090
MAM03499c ENSG00000169169
MAM03499c ENSG00000178537
MAM03499c ENSG00000205560
MAM03502c ENSG00000110090
MAM03502c ENSG00000169169
MAM03502c ENSG00000178537
MAM03502c ENSG00000205560
MAM03727c ENSG00000110090
MAM03727c ENSG00000169169
MAM03727c ENSG00000178537
MAM03727c ENSG00000205560
MAM03790c ENSG00000110090
MAM03790c ENSG00000169169
MAM03790c ENSG00000178537
MAM03790c ENSG00000205560
MAM03793c ENSG00000110090
MAM03793c ENSG00000169169
MAM03793c ENSG00000178537
MAM03793c ENSG00000205560
MAM00950x ENSG00000005469
MAM00950x ENSG00000095321
MAM00950x ENSG00000178537
MAM02634x ENSG00000095321
MAM02634x ENSG00000178537
MAM02409c ENSG00000110090
MAM02409c ENSG00000169169
MAM02409c ENSG00000178537
MAM02409c ENSG00000197119
MAM02409c ENSG00000205560
MAM02409m ENSG00000005469
MAM02409m ENSG00000178537
MAM02635x ENSG00000005469
MAM02635x ENSG00000178537
MAM03489x ENSG00000005469
MAM03489x ENSG00000178537
MAM03490x ENSG00000005469
MAM03490x ENSG00000178537
MAM03495x ENSG00000005469
MAM03495x ENSG00000178537
MAM03498x ENSG00000005469
MAM03498x ENSG00000178537
MAM03499x ENSG00000005469
MAM03499x ENSG00000178537
MAM03502x ENSG00000005469
MAM03502x ENSG00000178537
