"","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"15","SARAF",0,0.743558099402947,0.986,0.881,0,"CD4 T","SARAF"
"30","NPM1",0,0.618607423218092,0.981,0.877,0,"CD4 T","NPM1"
"31","RPL5",0,0.615779841467788,1,0.978,0,"CD4 T","RPL5"
"37","RPS27A",0,0.592332869950807,1,0.99,0,"CD4 T","RPS27A"
"39","EEF1B2",0,0.573139889229136,0.999,0.957,0,"CD4 T","EEF1B2"
"59","RPL4",0,0.491350393626019,0.999,0.973,0,"CD4 T","RPL4"
"60","EEF1A1",0,0.490441519896945,1,0.993,0,"CD4 T","EEF1A1"
"70","RPS16",0,0.444121847490178,0.999,0.981,0,"CD4 T","RPS16"
"95","PIK3IP1",2.17167165862004e-281,0.733839998768938,0.658,0.355,4.66192754955964e-277,"CD4 T","PIK3IP1"
"98","ETS1",3.48412703337776e-272,0.64149542232673,0.85,0.546,7.47937550255203e-268,"CD4 T","ETS1"
"100","LDLRAP1",1.46240648186352e-267,0.658369585574786,0.615,0.311,3.13934799461642e-263,"CD4 T","LDLRAP1"
"119","DGKA",3.99053169845723e-215,0.601633689041976,0.611,0.348,8.56647439707813e-211,"CD4 T","DGKA"
"152","PIM1",1.34713005856128e-159,0.563991645948997,0.566,0.33,2.89188409671351e-155,"CD4 T","PIM1"
"155","HSPB1",2.77594090308279e-153,0.502273508639869,0.606,0.389,5.95911233664783e-149,"CD4 T","HSPB1"
"158","HNRNPA1",1.49415868978355e-149,0.341398795625956,0.978,0.919,3.20751045935834e-145,"CD4 T","HNRNPA1"
"168","STMN3",1.68392728233127e-129,0.443805664112853,0.416,0.215,3.61488669698054e-125,"CD4 T","STMN3"
"178","SATB1",1.47405286732206e-120,0.475516828705155,0.444,0.255,3.16434929028027e-116,"CD4 T","SATB1"
"211","CDC25B",1.92719685227234e-91,0.385571489679494,0.498,0.329,4.13711348277304e-87,"CD4 T","CDC25B"
"212","CDKN1B",6.93331309189119e-91,0.365961205870314,0.672,0.527,1.48837432143628e-86,"CD4 T","CDKN1B"
"218","FOXO1",1.21957755256653e-86,0.366844902892692,0.415,0.259,2.61806713209458e-82,"CD4 T","FOXO1"
"227","HIST1H4C",1.00984831089254e-82,0.335413752395452,0.708,0.565,2.16784136899302e-78,"CD4 T","HIST1H4C"
"237","MYC",1.77252296369798e-76,0.370292834636266,0.374,0.226,3.80507504617046e-72,"CD4 T","MYC"
"243","PEBP1",2.19387276275158e-74,0.296934262445461,0.71,0.57,4.70958665979882e-70,"CD4 T","PEBP1"
"251","MCUB",5.53805433221602e-71,0.329126960127306,0.631,0.508,1.18885412349681e-66,"CD4 T","MCUB"
"253","RBL2",1.75356721572893e-69,0.320466175887974,0.623,0.489,3.7643827420053e-65,"CD4 T","RBL2"
"257","VAMP2",2.22675657639582e-66,0.265636350565569,0.839,0.747,4.78017834254891e-62,"CD4 T","VAMP2"
"263","CITED2",4.73086039050952e-63,0.347484378472309,0.615,0.491,1.01557380003068e-58,"CD4 T","CITED2"
"265","ANP32B",3.577608298114e-62,0.271236711882523,0.814,0.728,7.68005173356133e-58,"CD4 T","ANP32B"
"270","CCND2",9.1493163205423e-58,0.290224305826793,0.375,0.246,1.96408373453082e-53,"CD4 T","CCND2"
"273","TNIK",2.18965687587434e-56,0.268965664447575,0.289,0.17,4.70053641543944e-52,"CD4 T","TNIK"
"275","BCL2",4.44907543423397e-56,0.341709608327808,0.361,0.24,9.55083023467007e-52,"CD4 T","BCL2"
"298","FBL",4.79749392183599e-43,0.265241824018426,0.624,0.539,1.02987802020053e-38,"CD4 T","FBL"
"334","SAT1",0,2.63415212733622,0.985,0.65,0,"CD14+ Mono","SAT1"
"340","PLAUR",0,2.45747401315355,0.754,0.052,0,"CD14+ Mono","PLAUR"
"345","GRN",0,2.36667814996404,0.907,0.182,0,"CD14+ Mono","GRN"
"346","S100A6",0,2.32724802776296,0.989,0.912,0,"CD14+ Mono","S100A6"
"348","FTH1",0,2.31234672302674,0.999,0.996,0,"CD14+ Mono","FTH1"
"361","CTSD",0,2.05711477015629,0.923,0.443,0,"CD14+ Mono","CTSD"
"366","BRI3",0,2.02178191748936,0.921,0.384,0,"CD14+ Mono","BRI3"
"367","CXCL8",0,1.99317472163454,0.415,0.007,0,"CD14+ Mono","CXCL8"
"368","LRP1",0,1.9862465475941,0.745,0.035,0,"CD14+ Mono","LRP1"
"373","PYCARD",0,1.91026900038407,0.883,0.289,0,"CD14+ Mono","PYCARD"
"374","NAMPT",0,1.90995815218986,0.74,0.134,0,"CD14+ Mono","NAMPT"
"378","GABARAP",0,1.85827288227441,0.973,0.847,0,"CD14+ Mono","GABARAP"
"388","CD36",0,1.78194890494598,0.64,0.022,0,"CD14+ Mono","CD36"
"399","PGD",0,1.70030941954909,0.76,0.175,0,"CD14+ Mono","PGD"
"400","CTSZ",0,1.69153689936732,0.814,0.228,0,"CD14+ Mono","CTSZ"
"414","CTSB",0,1.57597744121283,0.81,0.304,0,"CD14+ Mono","CTSB"
"417","TIMP2",0,1.53700801834272,0.665,0.059,0,"CD14+ Mono","TIMP2"
"420","DUSP6",0,1.50919211168325,0.572,0.05,0,"CD14+ Mono","DUSP6"
"421","EMILIN2",0,1.49271915385187,0.65,0.072,0,"CD14+ Mono","EMILIN2"
"423","MCL1",0,1.48347600141403,0.924,0.656,0,"CD14+ Mono","MCL1"
"426","ASAH1",0,1.47389090164987,0.779,0.273,0,"CD14+ Mono","ASAH1"
"427","CEBPB",0,1.46296918629744,0.801,0.334,0,"CD14+ Mono","CEBPB"
"429","RAC1",0,1.45692521064583,0.898,0.542,0,"CD14+ Mono","RAC1"
"433","GLUL",0,1.44394507127936,0.655,0.154,0,"CD14+ Mono","GLUL"
"435","TNFRSF1B",0,1.4361589968106,0.811,0.306,0,"CD14+ Mono","TNFRSF1B"
"436","ANXA5",0,1.43558982051619,0.826,0.343,0,"CD14+ Mono","ANXA5"
"440","ZFAND5",0,1.42125471876826,0.796,0.354,0,"CD14+ Mono","ZFAND5"
"444","SOD2",0,1.40704419429532,0.717,0.306,0,"CD14+ Mono","SOD2"
"448","TNFSF13",0,1.38080386042026,0.58,0.041,0,"CD14+ Mono","TNFSF13"
"449","GAPDH",0,1.38018654069909,0.983,0.958,0,"CD14+ Mono","GAPDH"
"452","NPC2",0,1.36953424530983,0.794,0.354,0,"CD14+ Mono","NPC2"
"457","THBS1",0,1.3427984767574,0.358,0.012,0,"CD14+ Mono","THBS1"
"473","PLXDC2",0,1.28247708030551,0.508,0.027,0,"CD14+ Mono","PLXDC2"
"477","OGFRL1",0,1.2754152142743,0.572,0.098,0,"CD14+ Mono","OGFRL1"
"487","ATP6V0C",0,1.2450319145045,0.912,0.662,0,"CD14+ Mono","ATP6V0C"
