"","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","SASAP","cell_age","GSGene"
"119","DGKA",3.99053169845723e-215,0.601633689041976,0.611,0.348,8.56647439707813e-211,"CD4 T","DGKA",NA,"cell_age",NA
"361","CTSD",0,2.05711477015629,0.923,0.443,0,"CD14+ Mono","CTSD",NA,"cell_age","CSGene"
"388","CD36",0,1.78194890494598,0.64,0.022,0,"CD14+ Mono","CD36",NA,"cell_age",NA
"426","ASAH1",0,1.47389090164987,0.779,0.273,0,"CD14+ Mono","ASAH1",NA,"cell_age",NA
"452","NPC2",0,1.36953424530983,0.794,0.354,0,"CD14+ Mono","NPC2",NA,"cell_age",NA
"545","CPPED1",0,1.0896511576551,0.503,0.058,0,"CD14+ Mono","CPPED1",NA,"cell_age",NA
"548","PLEKHO1",0,1.08328858244572,0.697,0.284,0,"CD14+ Mono","PLEKHO1",NA,"cell_age",NA
"571","EIF4EBP1",0,1.0363164913509,0.488,0.087,0,"CD14+ Mono","EIF4EBP1",NA,"cell_age",NA
"593","CDKN1A",0,0.965111031225389,0.375,0.065,0,"CD14+ Mono","CDKN1A","SASAP","cell_age","CSGene"
"786","GLRX",6.50631620020665e-230,0.916945289509706,0.662,0.338,1.39671089869836e-225,"CD14+ Mono","GLRX",NA,"cell_age",NA
"854","ENO1",2.58813470066494e-173,0.714502386913809,0.841,0.696,5.55594876191742e-169,"CD14+ Mono","ENO1",NA,"cell_age",NA
"1170","INPP5D",2.90245207553442e-63,0.48302009233024,0.481,0.304,6.23069387054973e-59,"CD14+ Mono","INPP5D",NA,"cell_age",NA
"1325","GUSB",3.81567174777555e-38,0.347750739940633,0.307,0.186,8.19110254094977e-34,"CD14+ Mono","GUSB",NA,"cell_age",NA
"1347","DBI",8.46404417002967e-36,0.383825441846163,0.595,0.498,1.81697636198027e-31,"CD14+ Mono","DBI",NA,"cell_age",NA
"1408","LRPAP1",7.83998942934967e-30,0.328125866409086,0.441,0.322,1.68301053079849e-25,"CD14+ Mono","LRPAP1",NA,"cell_age",NA
"1916","PARP1",5.5220097323623e-123,0.794506378743628,0.739,0.366,1.18540982924622e-118,"B","PARP1",NA,"cell_age","CSGene"
"1939","NT5C",7.50224374528721e-104,0.676792852017342,0.653,0.292,1.6105066648008e-99,"B","NT5C",NA,"cell_age",NA
"2075","SAMD9L",3.63444024634047e-42,0.296239905314169,0.251,0.094,7.80205287681909e-38,"B","SAMD9L",NA,"cell_age",NA
"2107","INPP5D1",6.73571876131999e-35,0.377281839178254,0.535,0.319,1.44595674649256e-30,"B","INPP5D",NA,"cell_age",NA
"2137","SNX5",1.38052890246751e-29,0.33500944417646,0.472,0.275,2.963581394927e-25,"B","SNX5",NA,"cell_age",NA
"2139","PPP1CC",2.65938294759786e-29,0.361279717479881,0.653,0.444,5.70889737360832e-25,"B","PPP1CC",NA,"cell_age",NA
"2273","IGFBP7",6.7058346271869e-171,1.57541631849749,0.378,0.046,1.43954151941821e-166,"NK","IGFBP7","SASAP","cell_age","CSGene"
"2372","DBI1",1.73771589153168e-45,0.804016784188249,0.759,0.506,3.73035470435107e-41,"NK","DBI",NA,"cell_age",NA
"2477","PSME1",2.31887802989175e-21,0.463042871146595,0.906,0.861,4.97793546676861e-17,"NK","PSME1",NA,"cell_age",NA
"2479","CTSD1",5.86845318158545e-21,0.46200466912934,0.699,0.515,1.25978084449095e-16,"NK","CTSD",NA,"cell_age","CSGene"
"2585","NT5C1",1.67937781470305e-12,0.482748108457175,0.44,0.311,3.60512035482305e-08,"NK","NT5C",NA,"cell_age",NA
"2693","AKR1B1",1.51051926711429e-08,0.324287870183593,0.395,0.291,0.000324263171071424,"NK","AKR1B1",NA,"cell_age",NA
"2713","INPP5D2",3.97980853219544e-08,0.382524649984826,0.423,0.33,0.000854345497606395,"NK","INPP5D",NA,"cell_age",NA
"2815","MGMT",8.65155520053639e-06,0.309753456489762,0.33,0.256,0.185722935489915,"NK","MGMT",NA,"cell_age",NA
"2918","CALCOCO1",0.00092827566218899,0.296968781764353,0.253,0.198,1,"NK","CALCOCO1",NA,"cell_age",NA
"3029","CPPED11",1.01905876512215e-229,1.36381321839616,0.882,0.117,2.18761345108771e-225,"CD16+ Mono","CPPED1",NA,"cell_age",NA
"3065","RRAS",1.9884277739364e-191,1.20111306463305,0.818,0.12,4.26855790230927e-187,"CD16+ Mono","RRAS",NA,"cell_age",NA
"3075","SORT1",6.34624639034714e-184,0.544874856477362,0.419,0.03,1.36234871261582e-179,"CD16+ Mono","SORT1",NA,"cell_age",NA
"3130","ASAH11",6.50486845376831e-138,1.80985045454305,0.99,0.344,1.39640011097044e-133,"CD16+ Mono","ASAH1",NA,"cell_age",NA
"3160","NPC21",2.84135046694188e-123,1.71268298918662,0.99,0.415,6.09952704738414e-119,"CD16+ Mono","NPC2",NA,"cell_age",NA
"3343","PSTPIP2",1.66339760637067e-77,0.607974457682155,0.512,0.098,3.57081564159591e-73,"CD16+ Mono","PSTPIP2",NA,"cell_age",NA
"3456","PLEKHO11",4.97849434601832e-62,0.796294208638702,0.926,0.341,1.06873338125975e-57,"CD16+ Mono","PLEKHO1",NA,"cell_age",NA
"3586","MTHFD2",3.71865910637661e-47,0.474517421732509,0.453,0.111,7.98284550365868e-43,"CD16+ Mono","MTHFD2",NA,"cell_age",NA
"3591","EIF4EBP11",8.94186495764751e-47,0.478676302943261,0.537,0.145,1.91955015045819e-42,"CD16+ Mono","EIF4EBP1",NA,"cell_age",NA
"3596","HEG1",2.02956866070597e-46,0.372590643833032,0.34,0.068,4.3568750439375e-42,"CD16+ Mono","HEG1",NA,"cell_age",NA
"3658","CTSD2",7.7925351729006e-41,0.580753519370004,0.951,0.513,1.67282352556657e-36,"CD16+ Mono","CTSD",NA,"cell_age","CSGene"
"3660","GUSB1",9.72273286247426e-41,0.491321975599651,0.621,0.198,2.08717906358735e-36,"CD16+ Mono","GUSB",NA,"cell_age",NA
"3674","SNX51",1.12898074763684e-39,0.582520155389368,0.734,0.28,2.42358297095201e-35,"CD16+ Mono","SNX5",NA,"cell_age",NA
"3732","ANXA4",7.33054882778722e-36,0.361806015818876,0.365,0.092,1.57364891686108e-31,"CD16+ Mono","ANXA4",NA,"cell_age",NA
"3888","INPP5D3",1.85962398849283e-27,0.436603571318476,0.754,0.325,3.99205481609756e-23,"CD16+ Mono","INPP5D",NA,"cell_age",NA
"3904","CDKN1A1",9.13191723027831e-27,0.443489609388216,0.36,0.11,1.96034867182385e-22,"CD16+ Mono","CDKN1A","SASAP","cell_age","CSGene"
"3927","HAGH",2.52948089532712e-25,0.373476530929026,0.606,0.235,5.43003663799872e-21,"CD16+ Mono","HAGH",NA,"cell_age",NA
"4132","GLRX1",8.31214175251512e-17,0.356071204352319,0.729,0.384,1.78436747001242e-12,"CD16+ Mono","GLRX",NA,"cell_age",NA
"4178","LRPAP11",6.04375031869337e-15,0.305898947890304,0.66,0.336,1.2974118809139e-10,"CD16+ Mono","LRPAP1",NA,"cell_age",NA
"4243","PSME11",2.89962524805145e-12,0.311861616061139,0.99,0.861,6.22462551999205e-08,"CD16+ Mono","PSME1",NA,"cell_age",NA
"4299","IGFBP71",2.24955740174135e-247,0.803219411634019,0.728,0.048,4.82912487431816e-243,"DC","IGFBP7","SASAP","cell_age","CSGene"
"4342","SERPINF1",2.63903039746498e-151,0.324721816956337,0.301,0.013,5.66520655423806e-147,"DC","SERPINF1",NA,"cell_age",NA
"4407","ICAM1",8.73449033016442e-102,0.580817042017495,0.566,0.067,1.8750330391764e-97,"DC","ICAM1",NA,"cell_age",NA
"4420","CPPED12",1.37840634223497e-96,0.758696116460453,0.765,0.123,2.95902489487581e-92,"DC","CPPED1",NA,"cell_age",NA
"4428","DUSP3",2.246394046869e-92,0.406961370222229,0.493,0.055,4.82233410041369e-88,"DC","DUSP3",NA,"cell_age",NA
"4429","FABP5",5.80498654776038e-92,0.57440223106743,0.559,0.072,1.24615646220772e-87,"DC","FABP5",NA,"cell_age",NA
