"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"TCF7",0,1.23085545261473,0.938,0.443,0,"CD4 T","TCF7"
"LEF1",0,1.20048416237592,0.783,0.267,0,"CD4 T","LEF1"
"MAL",0,1.13664261717181,0.71,0.231,0,"CD4 T","MAL"
"CCR7",0,1.01159562659552,0.682,0.274,0,"CD4 T","CCR7"
"LDHB",0,0.98107266438885,0.972,0.709,0,"CD4 T","LDHB"
"NOSIP",0,0.95790527740257,0.881,0.578,0,"CD4 T","NOSIP"
"LTB",0,0.918168168590483,0.992,0.669,0,"CD4 T","LTB"
"CD3E",0,0.846245717779924,0.987,0.52,0,"CD4 T","CD3E"
"FLT3LG",0,0.845937914948997,0.776,0.414,0,"CD4 T","FLT3LG"
"AQP3",0,0.836118857506362,0.63,0.278,0,"CD4 T","AQP3"
"TRABD2A",0,0.828774169907481,0.54,0.185,0,"CD4 T","TRABD2A"
"PRKCQ-AS1",0,0.798213935786276,0.633,0.293,0,"CD4 T","PRKCQ-AS1"
"IL7R",0,0.77952425049105,0.916,0.465,0,"CD4 T","IL7R"
"INPP4B",0,0.765938366317008,0.58,0.243,0,"CD4 T","INPP4B"
"SARAF",0,0.743558099402947,0.986,0.881,0,"CD4 T","SARAF"
"CD6",0,0.738230299017272,0.634,0.288,0,"CD4 T","CD6"
"CD3D",0,0.738160820586496,0.927,0.478,0,"CD4 T","CD3D"
"PCED1B-AS1",0,0.726966781957232,0.862,0.557,0,"CD4 T","PCED1B-AS1"
"CAMK4",0,0.72162787835465,0.636,0.289,0,"CD4 T","CAMK4"
"IFITM1",0,0.720619426598978,0.969,0.588,0,"CD4 T","IFITM1"
"LAT",0,0.707503755788293,0.81,0.437,0,"CD4 T","LAT"
"TLE5",0,0.704755412947372,0.982,0.782,0,"CD4 T","TLE5"
"GIMAP7",0,0.702929118918175,0.902,0.641,0,"CD4 T","GIMAP7"
"C12orf57",0,0.692315871498034,0.937,0.691,0,"CD4 T","C12orf57"
"CD3G",0,0.689694770501919,0.774,0.394,0,"CD4 T","CD3G"
"LCK",0,0.633956360320239,0.838,0.455,0,"CD4 T","LCK"
"RPS25",0,0.630598079087703,1,0.982,0,"CD4 T","RPS25"
"RPL32",0,0.627011612286565,1,0.989,0,"CD4 T","RPL32"
"RPS12",0,0.623861824891935,1,0.989,0,"CD4 T","RPS12"
"NPM1",0,0.618607423218092,0.981,0.877,0,"CD4 T","NPM1"
"RPL5",0,0.615779841467788,1,0.978,0,"CD4 T","RPL5"
"EVL",0,0.609202161897943,0.93,0.669,0,"CD4 T","EVL"
"RPS3A",0,0.607532033299739,1,0.987,0,"CD4 T","RPS3A"
"RPS27",0,0.604143834308589,1,0.987,0,"CD4 T","RPS27"
"RPL30",0,0.603454675647644,1,0.987,0,"CD4 T","RPL30"
"RPS5",0,0.595305757249086,1,0.973,0,"CD4 T","RPS5"
"RPS27A",0,0.592332869950807,1,0.99,0,"CD4 T","RPS27A"
"RPL11",0,0.575944874980588,1,0.988,0,"CD4 T","RPL11"
"EEF1B2",0,0.573139889229136,0.999,0.957,0,"CD4 T","EEF1B2"
"RPL14",0,0.571546352746412,1,0.983,0,"CD4 T","RPL14"
"RPS15A",0,0.56538475570664,1,0.988,0,"CD4 T","RPS15A"
"RPS6",0,0.561144113785459,0.999,0.984,0,"CD4 T","RPS6"
"RPL3",0,0.559317671044878,1,0.982,0,"CD4 T","RPL3"
"RPS3",0,0.554918831240608,1,0.987,0,"CD4 T","RPS3"
"RPL36",0,0.551784842582672,1,0.984,0,"CD4 T","RPL36"
"NOP53",0,0.548485445975573,0.978,0.867,0,"CD4 T","NOP53"
"RPS18",0,0.544123864401072,1,0.989,0,"CD4 T","RPS18"
"RPL13",0,0.539010405979514,1,0.992,0,"CD4 T","RPL13"
"RPL22",0,0.511132490791287,0.999,0.977,0,"CD4 T","RPL22"
"RPL35A",0,0.510119051845609,1,0.989,0,"CD4 T","RPL35A"
"RPSA",0,0.507564654350466,0.998,0.959,0,"CD4 T","RPSA"
"RPS4X",0,0.505915065176689,1,0.983,0,"CD4 T","RPS4X"
"RPL9",0,0.504702009082474,0.999,0.982,0,"CD4 T","RPL9"
"RPS26",0,0.501495609648932,1,0.988,0,"CD4 T","RPS26"
"RPL34",0,0.500062755071597,1,0.988,0,"CD4 T","RPL34"
"RPS29",0,0.493173106898865,0.994,0.949,0,"CD4 T","RPS29"
"RPL10A",0,0.492989670439418,0.999,0.977,0,"CD4 T","RPL10A"
"RPL10",0,0.491605518752657,1,0.991,0,"CD4 T","RPL10"
"RPL4",0,0.491350393626019,0.999,0.973,0,"CD4 T","RPL4"
"EEF1A1",0,0.490441519896945,1,0.993,0,"CD4 T","EEF1A1"
"TPT1",0,0.484942199482995,1,0.994,0,"CD4 T","TPT1"
"RPL21",0,0.484125270146958,1,0.985,0,"CD4 T","RPL21"
"RPS14",0,0.478057578479554,1,0.988,0,"CD4 T","RPS14"
"RPL19",0,0.476955502301121,1,0.987,0,"CD4 T","RPL19"
"RPS13",0,0.465676623180623,1,0.986,0,"CD4 T","RPS13"
"RPL37",0,0.459908767137119,1,0.987,0,"CD4 T","RPL37"
"RPS21",0,0.459898635213945,1,0.983,0,"CD4 T","RPS21"
"RPS8",0,0.459244876993822,1,0.99,0,"CD4 T","RPS8"
"RPL24",0,0.455698057301065,0.999,0.981,0,"CD4 T","RPL24"
"RPS16",0,0.444121847490178,0.999,0.981,0,"CD4 T","RPS16"
"RPL18",0,0.439074960539126,1,0.986,0,"CD4 T","RPL18"
"RPL29",0,0.438893558002013,1,0.988,0,"CD4 T","RPL29"
"RPL39",0,0.432507777623793,1,0.987,0,"CD4 T","RPL39"
"RPS23",0,0.421088083785772,1,0.988,0,"CD4 T","RPS23"
"RPL18A",0,0.41874822708751,1,0.987,0,"CD4 T","RPL18A"
"RPS28",0,0.408746011550903,1,0.988,0,"CD4 T","RPS28"
"RPS15",0,0.39144196493673,1,0.991,0,"CD4 T","RPS15"
"NACA",0,0.373613196018615,0.999,0.982,0,"CD4 T","NACA"
"RPL12",0,0.36720606542915,1,0.989,0,"CD4 T","RPL12"
"RPL6",0,0.365185213795887,1,0.986,0,"CD4 T","RPL6"
