"","ID","NAME","EQUATION","GENE.ASSOCIATION","SUBSYSTEM","Flux_C1","Flux_C2","Flux_CT"
"1","MAR00040","3- (4-Hydroxyphenyl-)Lactate Formation","4-hydroxyphenylpyruvate[m] + H+[m] + NADH[m] => NAD+[m] + 4-hydroxyphenyllactate[m]","","Other",0.00360937334427997,0.0039954819294824,0.00360937334427997
"2","MAR00047","4-Hydroxybenzoyl Coenzyme A Formation","CoA[m] + H2O[m] + NAD+[m] + 4-coumaroyl-CoA[m] => acetyl-CoA[m] + H+[m] + NADH[m] + 4-hydroxybenzoyl-CoA[m]","","Other",0.00360937334427997,0.0039954819294824,0.00360937334427997
"3","MAR00048","4-Hydroxybenzoate Formation","H2O[m] + 4-hydroxybenzoyl-CoA[m] => 4-hydroxybenzoate[m] + CoA[m] + H+[m]","","Other",0.00360937334427997,0.0039954819294824,0.00360937334427997
"4","MAR00050","5-Formyltetrahydrofolate Transport via Anion Exchange","5-formyl-THF[e] + H2O[c] <=> 5-formyl-THF[c] + H2O[e]","ENSG00000173638","Transport reactions",1000,-1000,-1000
"5","MAR00053","5-Methyltetrahydrofolate Transport via Anion Exchange","5-methyl-THF[e] + H2O[c] <=> 5-methyl-THF[c] + H2O[e]","ENSG00000173638","Transport reactions",-1000,-1000,-1000
"6","MAR00060","O-Acetylcarnintine Transport into Mitochondria via Diffusion","O-acetylcarnitine[c] <=> O-acetylcarnitine[m]","ENSG00000178537","Transport reactions",12.5732771534836,-60.3715995940066,150.559116866211
"7","MAR00064","Transport into the Mitochondria (Carnitine)","ocosatetraenoylcarnitine[c] <=> ocosatetraenoylcarnitine[m]","ENSG00000178537","Fatty acid oxidation",-1000,-1000,-1000
"8","MAR00076","Transport into the Mitochondria (Carnitine)","eicosanoylcarnitine[c] <=> eicosanoylcarnitine[m]","ENSG00000178537","Fatty acid oxidation",-1000,-1000,-1000
"9","MAR00079","Arginine Mitochondrial Transport via Ornithine Carrier","arginine[c] + H+[m] <=> arginine[m] + H+[c]","ENSG00000102743 or ENSG00000120329","Transport reactions",1000,NA,199.093844097262
"10","MAR00102","C160 Transport into the Mitochondria","L-palmitoylcarnitine[c] <=> L-palmitoylcarnitine[m]","ENSG00000178537","Fatty acid oxidation",-1000,165.578780304511,-776.114163205048
"11","MAR00103","Carnitine O-Palmitoyltransferase","L-carnitine[c] + (2E)-hexadecenoyl-CoA[c] <=> CoA[c] + hexadecenoylcarnitine(9)[c]","ENSG00000110090 or ENSG00000169169 or ENSG00000205560","Fatty acid oxidation",NA,NA,0.00146662613883564
"12","MAR00104","C161 Transport into the Mitochondria","CoA[m] + hexadecenoylcarnitine(9)[m] <=> (2E)-hexadecenoyl-CoA[m] + L-carnitine[m]","ENSG00000157184","Fatty acid oxidation",861.003977112192,1000,1000
"13","MAR00106","C161 Transport into the Mitochondria","palmitoleoyl-carnitine[c] <=> palmitoleoyl-carnitine[m]","ENSG00000178537","Fatty acid oxidation",-1000,-1000,-1000
"14","MAR00107","C180 Transport into the Mitochondria","stearoylcarnitine[c] <=> stearoylcarnitine[m]","ENSG00000178537","Fatty acid oxidation",-1000,-1000,-1000
"15","MAR00108","Transport of Octadecenoyl Coenzyme A into Mitochondrial Matrix","L-carnitine[c] + oleoyl-CoA[c] <=> CoA[c] + octadecenoylcarnitine(5)[c]","ENSG00000110090 or ENSG00000169169 or ENSG00000205560","Fatty acid oxidation",-1000,-4.15937975601162,-1000
"16","MAR00109","Transport of Octadecenoyl Coenzyme A into Mitochondrial Matrix","CoA[m] + octadecenoylcarnitine(5)[m] <=> L-carnitine[m] + oleoyl-CoA[m]","ENSG00000157184","Fatty acid oxidation",-1000,NA,-999.432049027745
"17","MAR00110","C181 Transport into the Mitochondria","octadecenoylcarnitine(5)[c] <=> octadecenoylcarnitine(5)[m]","ENSG00000178537","Fatty acid oxidation",-1000,-1000,-1000
"18","MAR00111","Arachidonic Acid Transport into the Mitochondria","arachidonyl-carnitine[c] <=> arachidonyl-carnitine[m]","ENSG00000178537","Fatty acid oxidation",-1000,-1000,-1000
"19","MAR00124","Citrulline Mitochondrial Transport via Proton Antiport","citrulline[m] <=> citrulline[c]","ENSG00000102743 or ENSG00000120329","Transport reactions",-190.860573123311,-1000,-703.540337002838
"20","MAR00125","Citrate Transport, Mitochondrial","citrate[c] + malate[m] <=> citrate[m] + malate[c]","ENSG00000100075","Transport reactions",-1000,-1000,-1000
"21","MAR00128","Transport into the Mitochondria (Carnitine)","(7Z,10Z,13Z,16Z,19Z)-docosapentaenoylcarnitine[c] <=> (7Z,10Z,13Z,16Z,19Z)-docosapentaenoylcarnitine[m]","ENSG00000178537","Fatty acid oxidation",1000,1000,1000
"22","MAR00129","Cardiolipin Synthase (Homo Sapiens)","PG-CL pool[c] + CDP-diacylglycerol-CL pool[c] => CL pool[c] + CMP[c] + H+[c]","ENSG00000088766","Glycerophospholipid metabolism",0.395339719008984,0.437630733271277,0.395339719008984
