"","Var1","Var2","pval"
"1","METS","GENDER",0.306323709786519
"2","Ethnic","GENDER",0.520381968151211
"3","Origin","GENDER",0.853168685144888
"4","CD8","GENDER",0.975600051987375
"5","ob6","GENDER",0.190564303278749
"6","ob10","GENDER",0.769327653393975
"7","ob11","GENDER",0.931835030124277
"8","H2_53a","GENDER",0.144552750262691
"9","H2_56","GENDER",0.270523316403279
"10","central_obesity","GENDER",0.587376172400114
"11","hypertension","GENDER",0.602846548493931
"12","first_drug","GENDER",0.607931522883826
"13","VAT","GENDER",0.467399978956289
"14","CDCAIDS","GENDER",0.0813942444668376
"15","ob2","GENDER",0.542331776727351
"16","ob5","GENDER",0.44971994939203
"17","ob8","GENDER",0.587400365873533
"18","ob13","GENDER",0.798574383448442
"19","ob19","GENDER",0.719688974925463
"20","H2_32b","GENDER",0.123456015161952
"21","H2_45a6","GENDER",0.733956467963657
"22","H2_52c","GENDER",0.636151531525864
"23","H2_53e","GENDER",0.737568245170485
"24","H2_71a","GENDER",0.250214398706809
"25","status_smoking","GENDER",0.029218109096098
"26","weight","GENDER",0.449719947887892
"27","WHR","GENDER",0.195519383835014
"28","eGFR","GENDER",0.198962682335511
"29","alat","GENDER",0.505618833836866
"30","creatini","GENDER",0.0715342297000282
"31","Tgl","GENDER",0.560583652488729
"32","Hdl","GENDER",0.942987665837573
"33","CDA_CD8","GENDER",0.128904965352207
"34","CDA_CD8_cat","GENDER",0.244786620344067
"35","VAT_cat","GENDER",0.581799232194046
"36","Ethnic","METS",0.295596106102102
"37","Origin","METS",0.29724773074848
"38","CD8","METS",0.616847468229437
"39","ob6","METS",0.444415312380579
"40","ob10","METS",0.664661537287852
"41","ob11","METS",0.348674970594704
"42","H2_53a","METS",0.207263510540341
"43","H2_56","METS",0.524842276112048
"44","central_obesity","METS",0.0794980168283591
"45","hypertension","METS",0.918009854316814
"46","first_drug","METS",0.0534033871261493
"47","VAT","METS",0.492835137190128
"48","CDCAIDS","METS",0.845954370672073
"49","ob2","METS",0.183671368967507
"50","ob5","METS",0.93054416413849
"51","ob8","METS",0.743992042527343
"52","ob13","METS",0.739539323852494
"53","ob19","METS",0.305938471926541
"54","H2_32b","METS",0.153652915637393
"55","H2_45a6","METS",0.139741254586072
"56","H2_52c","METS",0.086155205461713
"57","H2_53e","METS",0.415855615246349
"58","H2_71a","METS",0.0891134954794375
"59","status_smoking","METS",0.348209268772179
"60","weight","METS",0.930544199576455
"61","WHR","METS",0.057114109666914
"62","eGFR","METS",0.0964311923508632
"63","alat","METS",0.336316742419176
"64","creatini","METS",0.166149215878089
"65","Tgl","METS",0.178639974984349
"66","Hdl","METS",0.560197068947045
"67","CDA_CD8","METS",0.596863413224781
"68","CDA_CD8_cat","METS",0.350392455104868
"69","VAT_cat","METS",0.273379585816717
"70","Origin","Ethnic",NA
"71","CD8","Ethnic",0.818389207506828
"72","ob6","Ethnic",0.5972425486609
"73","ob10","Ethnic",0.326652136761153
"74","ob11","Ethnic",0.871188713699244
