"","feat1","feat2","R","p","Padj","name_int"
"1","GENDER.x","AGE.x",-0.227811330515927,0.00399243555858741,0.0180927509890457,"GENDER.x (interacts with) AGE.x"
"2","Duration.of.therapy","AGE.x",0.310682066923814,7.09801460327952e-05,0.000555036354820703,"Duration.of.therapy (interacts with) AGE.x"
"3","Ethnic","AGE.x",0.268697365069543,0.00069478001220169,0.00409377941955779,"Ethnic (interacts with) AGE.x"
"4","hypertension","AGE.x",0.232380000243816,0.00330222483147491,0.0154395848224869,"hypertension (interacts with) AGE.x"
"5","VAT","AGE.x",0.230302203741149,0.0041843321149555,0.0188171888706688,"VAT (interacts with) AGE.x"
"6","TSPAN6","AGE.x",-0.274106797804698,0.000491944449388271,0.00303600992481662,"TSPAN6 (interacts with) AGE.x"
"7","CFH","AGE.x",0.202017496814803,0.0109134408081526,0.0414238295411416,"CFH (interacts with) AGE.x"
"8","HS3ST1","AGE.x",-0.252157593645609,0.00139243702141667,0.00743693094787448,"HS3ST1 (interacts with) AGE.x"
"9","WNT16","AGE.x",-0.208307276657749,0.00862762404762329,0.0341990902425514,"WNT16 (interacts with) AGE.x"
"10","PLXND1","AGE.x",0.238064588991455,0.00259453247492725,0.012604105650683,"PLXND1 (interacts with) AGE.x"
"11","ABCB4","AGE.x",-0.199462606818079,0.0119845488118639,0.0446881802469272,"ABCB4 (interacts with) AGE.x"
"12","ALDH3B1","AGE.x",0.213293727634667,0.00712790113974071,0.0292429717327083,"ALDH3B1 (interacts with) AGE.x"
"13","GAS7","AGE.x",0.209998863538774,0.00809018841495623,0.0324466441186948,"GAS7 (interacts with) AGE.x"
"14","CD79B","AGE.x",-0.217336178731986,0.00608716419195865,0.0256789098250309,"CD79B (interacts with) AGE.x"
"15","CACNA2D2","AGE.x",0.264578804964601,0.000781212904770623,0.00452925696834082,"CACNA2D2 (interacts with) AGE.x"
"16","ZBTB32","AGE.x",-0.201987045205783,0.0109256940582547,0.0414622663103092,"ZBTB32 (interacts with) AGE.x"
"17","CD22","AGE.x",-0.209619741006483,0.00820798930605982,0.0328341573209817,"CD22 (interacts with) AGE.x"
"18","LTF","AGE.x",0.198902779984013,0.0122312167328809,0.0454314297979862,"LTF (interacts with) AGE.x"
"19","ADGRA2","AGE.x",0.280696841618542,0.00035374649365405,0.00228034522148659,"ADGRA2 (interacts with) AGE.x"
"20","OSBPL5","AGE.x",0.332259028590552,1.99832671947675e-05,0.000179145765732351,"OSBPL5 (interacts with) AGE.x"
"21","ANK1","AGE.x",-0.245578523516979,0.00187002829004657,0.00955717828367279,"ANK1 (interacts with) AGE.x"
"22","GAB2","AGE.x",0.204210012664196,0.0100623825763799,0.0387802311781855,"GAB2 (interacts with) AGE.x"
