"","NULL.V1","NULL.V2","NULL.V3","NULL.V4"
"1","Predictors","Log-Odds","CI","p"
"2","(Intercept)","-0.25","-0.83 – 0.32","0.388"
"3","sub data[, 2]2","-2.23 *","-5.18 – -0.49","0.039"
"4","sub data[, 2]3","-0.85","-3.89 – 1.29","0.477"
"5","sub data[, 3]1","0.51","-0.30 – 1.34","0.217"
"6","sub data[, 2]2 × subdata[, 3]1","-15.59","NA – 461.19","0.995"
"7","sub data[, 2]3 × subdata[, 3]1","18.15","-178.57 – NA","0.990"
"8","Observations","121",NA,NA
"9","R2 Tjur","0.007",NA,NA
"10","* p<0.05   ** p<0.01   *** p<0.001",NA,NA,NA
