"","NULL.V1","NULL.V2","NULL.V3","NULL.V4"
"1","Predictors","Log-Odds","CI","p"
"2","(Intercept)","-0.04","-0.45 – 0.37","0.835"
"3","sub data[, 2]2","-1.83 *","-3.72 – -0.47","0.020"
"4","sub data[, 2]3","1.65 *","0.25 – 3.56","0.039"
"5","sub data[, 3]low","-0.36","-1.29 – 0.53","0.430"
"6","sub data[, 2]2 × subdata[, 3]low","-14.33","NA – 160.88","0.989"
"7","sub data[, 2]3 × subdata[, 3]low","-17.81","NA – 160.92","0.990"
"8","Observations","152",NA,NA
"9","R2 Tjur","0.012",NA,NA
"10","* p<0.05   ** p<0.01   *** p<0.001",NA,NA,NA
