"","NULL.V1","NULL.V2","NULL.V3","NULL.V4"
"1","Predictors","Log-Odds","CI","p"
"2","(Intercept)","-2.29 **","-4.34 – -0.82","0.008"
"3","sub data[, 2]","0.85 *","0.28 – 1.72","0.015"
"4","sub data[, 3]Ex smoker","2.50 **","0.82 – 4.68","0.009"
"5","sub data[, 3]Never smoker","1.46","-0.21 – 3.62","0.121"
"6","sub data[, 2] × subdata[, 3]Ex smoker","-0.78 *","-1.67 – -0.15","0.035"
"7","sub data[, 2] × subdata[, 3]Never smoker","-0.73 *","-1.62 – -0.11","0.048"
"8","Observations","142",NA,NA
"9","R2 Tjur","0.023",NA,NA
"10","* p<0.05   ** p<0.01   *** p<0.001",NA,NA,NA
