"","NULL.V1","NULL.V2","NULL.V3","NULL.V4"
"1","Predictors","Log-Odds","CI","p"
"2","(Intercept)","-0.88","-5.35 – 3.50","0.687"
"3","sub data[, 2]","0.00","-0.05 – 0.06","0.863"
"4","sub data[, 3]Ex smoker","-5.72","-12.21 – 0.36","0.071"
"5","sub data[, 3]Never smoker","1.05","-4.10 – 6.28","0.687"
"6","sub data[, 2] × subdata[, 3]Ex smoker","0.08 *","0.01 – 0.17","0.037"
"7","sub data[, 2] × subdata[, 3]Never smoker","-0.01","-0.08 – 0.05","0.669"
"8","Observations","158",NA,NA
"9","R2 Tjur","0.114",NA,NA
"10","* p<0.05   ** p<0.01   *** p<0.001",NA,NA,NA
