"","Area","Nb"
"1","Membrane",46
"2","Membrane",20
"3","Cell junction",93
"4","Membrane",650
"5","Cytoplasm",1021
"6","Cytoplasm",135
"7","Cytoplasm",19
"8","Secretory Pathways",19
"9","Secretory Pathways",41
"10","Endoplasmic reticulum",167
"11","Endoplasmic reticulum",25
"12","Endoplasmic reticulum",74
"13","Golgi",11
"14","Secretory Pathways",38
"15","Secretory Pathways",65
"16","Golgi",162
"17","Golgi",60
"18","Golgi",17
"19","Golgi",13
"20","Membrane",20
"21","Secretory Pathways",12
"22","Secretory Pathways",21
"23","Membrane",20
"24","Secretory Pathways",82
"25","Melanosome",27
"26","Membrane",348
"27","Mitochondria",25
"28","Mitochondria",18
"29","Mitochondria",32
"30","Mitochondria",11
"31","Mitochondria",18
"32","Mitochondria",172
"33","Nucleus",17
"34","Nucleus",12
"35","Nucleus",18
"36","Nucleus",15
"37","Nucleus",543
"38","Perikaryon",15
"39","Peroxisome",20
"40","Membrane",14
"41","Secretory Pathways",18
"42","Secretory Pathways",879
"43","Synapse",32
"44","Golgi",38
"45","Golgi",19
"46","Cell projection",168
"47","Cytoplasm",23
"48","Postsynaptic density",20
"49","Cell surface",29
"50","Membrane",29
"51","PML body",12
"52","Chromosome",48
"53","Midbody",20
"54","Lipid-anchor",134
"55","Lipid-anchor",74
"56","Membrane",177
"57","Membrane",58
"58","Membrane",499
"59","Membrane",111
"60","Membrane",11
"61","Membrane",16
"62","Membrane",89
"63","Cytoplasm",73
"64","Extracellular side",22
