"","Area","Nb"
"1","Membrane",12
"2","Membrane",3
"3","Membrane",2
"4","Cajal body",2
"5","Cell junction",39
"6","Membrane",154
"7","Centrosome",3
"8","Golgi",3
"9","Cytoplasm",536
"10","Cytoplasm",54
"11","Cytoplasm",9
"12","Secretory Pathways",8
"13","Secretory Pathways",21
"14","Endoplasmic reticulum",73
"15","Endoplasmic reticulum",14
"16","Endoplasmic reticulum",27
"17","Golgi",5
"18","Secretory Pathways",20
"19","Secretory Pathways",31
"20","Golgi",67
"21","Golgi",25
"22","Golgi",6
"23","Golgi",4
"24","Membrane",6
"25","Secretory Pathways",8
"26","Secretory Pathways",12
"27","Lipid droplet",3
"28","Membrane",8
"29","Secretory Pathways",35
"30","Melanosome",13
"31","Membrane",97
"32","Membrane",4
"33","Microsome",4
"34","Mitochondria",14
"35","Mitochondria",11
"36","Mitochondria",16
"37","Mitochondria",9
"38","Mitochondria",9
"39","Mitochondria",96
"40","Nucleus",12
"41","Nucleus",2
"42","Nucleus",4
"43","Nucleus",9
"44","Nucleus",7
"45","Nucleus",2
"46","Nucleus",269
"47","Perikaryon",5
"48","Peroxisome matrix",3
"49","Peroxisome",13
"50","Membrane",3
"51","Membrane",2
"52","P-body",5
"53","Secretory Pathways",6
"54","Secretory Pathways",11
"55","Endoplasmic reticulum",2
"56","Secretory Pathways",161
"57","Synapse",15
"58","Golgi",18
"59","Golgi",10
"60","Cell projection",66
"61","Cytoplasm",6
"62","Postsynaptic density",11
"63","Cell surface",11
"64","Sarcoplasm",2
"65","Z line",3
"66","Secretory Pathways",2
"67","Membrane",7
"68","PML body",3
"69","Cleavage furrow",6
"70","Chromosome",21
"71","Midbody",16
"72","Midbody ring",2
"73","Cytoplasm",2
"74","Stress granule",7
"75","Postsynapse",5
"76","Presynapse",6
"77","Cytoplasm",2
"78","Zymogen granule",2
"79","Membrane",2
"80","Lipid-anchor",40
"81","Lipid-anchor",6
"82","Membrane",95
"83","Membrane",23
"84","Membrane",79
"85","Membrane",21
"86","Membrane",4
"87","Membrane",8
"88","Membrane",19
"89","Cytoplasm",40
"90","Extracellular side",8
"91","Membrane",3
"92","Matrix side",3
