"","BIOCHEMICAL","logFC","P.Value","adj.P.Val","Comp"
"CCL20","CCL20",1.39577818181818,0.0610091848422101,0.99973935325692,"C1-C2"
"IL5","IL5",-0.286657272727273,0.0782351159871258,0.99973935325692,"C1-C2"
"DCN","DCN",-0.141392727272727,0.0924409896372622,0.99973935325692,"C1-C2"
"NOS3","NOS3",-0.322359090909091,0.0985904610959589,0.99973935325692,"C1-C2"
"CX3CL1","CX3CL1",-0.14335,0.10077041582414,0.99973935325692,"C1-C2"
"GZMH","GZMH",-1.04810181818182,0.105282789725578,0.99973935325692,"C1-C2"
"IL15","IL15",0.393495454545455,0.158515594466457,0.99973935325692,"C1-C2"
"CXCL13","CXCL13",1.01871909090909,0.197137972360903,0.99973935325692,"C1-C2"
"CD8A","CD8A",-0.576666363636365,0.21222330719057,0.99973935325692,"C1-C2"
"TNF","TNF",0.778984545454547,0.226325363574617,0.99973935325692,"C1-C2"
"ARG1","ARG1",-0.111717272727273,0.230476494828287,0.99973935325692,"C1-C2"
"ANGPT2","ANGPT2",0.0760872727272728,0.235487778633404,0.99973935325692,"C1-C2"
"IL.1.alpha","IL.1.alpha",0.263436363636364,0.236900186438798,0.99973935325692,"C1-C2"
"FGF2","FGF2",-0.0901709090909091,0.249097964548897,0.99973935325692,"C1-C2"
"PTN","PTN",0.121505454545454,0.266541022013042,0.99973935325692,"C1-C2"
"CCL17","CCL17",0.748742727272727,0.289767581904961,0.99973935325692,"C1-C2"
"CCL3","CCL3",0.713480909090912,0.306507438138589,0.99973935325692,"C1-C2"
"Gal.1","Gal.1",0.199580909090909,0.30769464818828,0.99973935325692,"C1-C2"
"GZMA","GZMA",-0.613941818181818,0.322519717498841,0.99973935325692,"C1-C2"
"IL12","IL12",0.215987272727272,0.334219264535697,0.99973935325692,"C1-C2"
"IL13","IL13",0.470724545454545,0.338348878825547,0.99973935325692,"C1-C2"
"KIR3DL1","KIR3DL1",-0.134439090909091,0.373029725917847,0.99973935325692,"C1-C2"
"CCL19","CCL19",0.237167272727272,0.389117445542924,0.99973935325692,"C1-C2"
"IL2","IL2",-0.139162727272727,0.396772975341994,0.99973935325692,"C1-C2"
"KLRD1","KLRD1",-0.0929490909090904,0.399151780647917,0.99973935325692,"C1-C2"
"IL8","IL8",0.456840909090905,0.399244919339082,0.99973935325692,"C1-C2"
"CD5","CD5",0.325547272727273,0.400538560303356,0.99973935325692,"C1-C2"
"LAMP3","LAMP3",0.0792354545454546,0.40077807787101,0.99973935325692,"C1-C2"
"MCP.4","MCP.4",-0.816718181818182,0.408006881420106,0.99973935325692,"C1-C2"
"IL10","IL10",0.39601090909091,0.441320971937916,0.99973935325692,"C1-C2"
"IFN.gamma","IFN.gamma",0.729029090909092,0.448262960107968,0.99973935325692,"C1-C2"
"NCR1","NCR1",-0.0897718181818183,0.463247608097772,0.99973935325692,"C1-C2"
"CCL4","CCL4",0.476383636363638,0.463574840687833,0.99973935325692,"C1-C2"
"PDGF.subunit.B","PDGF.subunit.B",0.242192727272728,0.464617568060424,0.99973935325692,"C1-C2"
"MMP12","MMP12",0.723287272727273,0.496603986390996,0.99973935325692,"C1-C2"
"LAG3","LAG3",0.214416363636364,0.497617005332881,0.99973935325692,"C1-C2"
"CXCL11","CXCL11",0.372838181818182,0.504094554349116,0.99973935325692,"C1-C2"
"TNFRSF9","TNFRSF9",0.277133636363638,0.505142149489023,0.99973935325692,"C1-C2"
"MUC.16","MUC.16",-0.110298181818182,0.509877677700471,0.99973935325692,"C1-C2"
"FASLG","FASLG",0.215805454545454,0.531193838449892,0.99973935325692,"C1-C2"
"PD.L1","PD.L1",0.20169090909091,0.568366212282088,0.99973935325692,"C1-C2"
"TNFRSF4","TNFRSF4",0.23847,0.581845268592582,0.99973935325692,"C1-C2"
"CD27","CD27",0.0805845454545455,0.595812852286425,0.99973935325692,"C1-C2"
"PDCD1","PDCD1",0.130223636363637,0.598674817372266,0.99973935325692,"C1-C2"
"CD40","CD40",0.197420909090908,0.618977133305077,0.99973935325692,"C1-C2"
"EGF","EGF",-0.0967490909090908,0.646755257055952,0.99973935325692,"C1-C2"
"TNFSF14","TNFSF14",0.249754545454546,0.661852674659069,0.99973935325692,"C1-C2"
"PD.L2","PD.L2",0.0431309090909091,0.666834541757246,0.99973935325692,"C1-C2"
"IL12RB1","IL12RB1",0.0456263636363632,0.676139190353111,0.99973935325692,"C1-C2"
"VEGFR.2","VEGFR.2",0.036196363636364,0.679417623912577,0.99973935325692,"C1-C2"
"GZMB","GZMB",0.25386090909091,0.694372901496089,0.99973935325692,"C1-C2"
"CD4","CD4",0.147266363636363,0.716479743752656,0.99973935325692,"C1-C2"
"CSF.1","CSF.1",0.174123636363632,0.720947326481564,0.99973935325692,"C1-C2"
"MMP7","MMP7",0.308019090909092,0.722913151332882,0.99973935325692,"C1-C2"
"CCL23","CCL23",-0.305506363636363,0.740729270002679,0.99973935325692,"C1-C2"
"ADA","ADA",0.0730818181818194,0.749333346197983,0.99973935325692,"C1-C2"
"TWEAK","TWEAK",-0.0697063636363637,0.769548853504663,0.99973935325692,"C1-C2"
"HGF","HGF",-0.104496363636364,0.771904919129606,0.99973935325692,"C1-C2"
"LAP.TGF.beta.1","LAP.TGF.beta.1",0.121696363636365,0.777916181590115,0.99973935325692,"C1-C2"
"IL4","IL4",0.0395572727272727,0.800502228700982,0.99973935325692,"C1-C2"
"ADGRG1","ADGRG1",0.0284990909090908,0.804610554060759,0.99973935325692,"C1-C2"
"CD40.L","CD40.L",-0.0438554545454546,0.805485435171628,0.99973935325692,"C1-C2"
"CD244","CD244",-0.0415990909090911,0.806941805822767,0.99973935325692,"C1-C2"
"CXCL12","CXCL12",-0.0212718181818181,0.808450894910808,0.99973935325692,"C1-C2"
"ICOSLG","ICOSLG",0.0253445454545456,0.815271486940004,0.99973935325692,"C1-C2"
"TIE2","TIE2",0.0177481818181811,0.826304692360029,0.99973935325692,"C1-C2"
"VEGFA","VEGFA",0.0320690909090908,0.829215502583671,0.99973935325692,"C1-C2"
"MCP.1","MCP.1",-0.152761818181817,0.832622701773387,0.99973935325692,"C1-C2"
"CASP.8","CASP.8",0.026836363636364,0.843457524832108,0.99973935325692,"C1-C2"
"Gal.9","Gal.9",0.0764127272727269,0.844756626802086,0.99973935325692,"C1-C2"
"PGF","PGF",0.0173518181818162,0.852449155883257,0.99973935325692,"C1-C2"
"CRTAM","CRTAM",-0.0233236363636362,0.852666400063472,0.99973935325692,"C1-C2"
"MCP.2","MCP.2",-0.168805454545454,0.856392005064493,0.99973935325692,"C1-C2"
"CD83","CD83",0.0270590909090909,0.883496002002616,0.99973935325692,"C1-C2"
"IL7","IL7",0.0121427272727275,0.888750531587593,0.99973935325692,"C1-C2"
"HO.1","HO.1",0.0509445454545467,0.890697609958541,0.99973935325692,"C1-C2"
"TNFRSF12A","TNFRSF12A",0.035899090909091,0.891318286750885,0.99973935325692,"C1-C2"
"CD70","CD70",0.0264272727272727,0.895087745658903,0.99973935325692,"C1-C2"
"IL18","IL18",0.0157445454545462,0.895967286456398,0.99973935325692,"C1-C2"
"CXCL5","CXCL5",-0.0791481818181818,0.915365078216308,0.99973935325692,"C1-C2"
"IL6","IL6",-0.106193636363638,0.917483524281963,0.99973935325692,"C1-C2"
"TNFRSF21","TNFRSF21",0.0172854545454548,0.937556951949615,0.99973935325692,"C1-C2"
"ANGPT1","ANGPT1",0.0138263636363638,0.93851485183805,0.99973935325692,"C1-C2"
"CAIX","CAIX",-0.010862727272727,0.942309183085943,0.99973935325692,"C1-C2"
"CXCL9","CXCL9",-0.0671463636363638,0.94258001331328,0.99973935325692,"C1-C2"
"MCP.3","MCP.3",0.0479781818181833,0.966990643148429,0.99973935325692,"C1-C2"
"CXCL10","CXCL10",0.0448072727272733,0.966994314422115,0.99973935325692,"C1-C2"
"IL33","IL33",-0.0047463636363636,0.972901114289847,0.99973935325692,"C1-C2"
"CD28","CD28",-0.00473727272727276,0.974992204522868,0.99973935325692,"C1-C2"
"MIC.A.B","MIC.A.B",0.00458545454545467,0.984949210175244,0.99973935325692,"C1-C2"
"CXCL1","CXCL1",0.011158181818181,0.988872621156302,0.99973935325692,"C1-C2"
"TRAIL","TRAIL",-1.63636363641473e-05,0.999863772014315,0.999863772014315,"C1-C2"
"EGF1","EGF",-1.12356,7.07404923387971e-06,0.000650812529516933,"C1-Ctrl"
"CXCL131","CXCL13",-3.78201818181818,2.83839304396812e-05,0.00130566080022533,"C1-Ctrl"
"ANGPT11","ANGPT1",-0.761108181818182,0.000163139197893943,0.00382730583302364,"C1-Ctrl"
"TNFRSF41","TNFRSF4",-1.83135090909091,0.000166404601435811,0.00382730583302364,"C1-Ctrl"
"TNFRSF91","TNFRSF9",-1.6961,0.000252189546865617,0.00443510694307838,"C1-Ctrl"
"PDGF.subunit.B1","PDGF.subunit.B",-1.33309909090909,0.000291129631111419,0.00443510694307838,"C1-Ctrl"
"IFN.gamma1","IFN.gamma",-3.81832272727272,0.000337453789147268,0.00443510694307838,"C1-Ctrl"
"CD701","CD70",-0.760605454545454,0.000581629947389638,0.00668874439498084,"C1-Ctrl"
"CD40.L1","CD40.L",-0.664127272727273,0.00069648348544398,0.00706197799967032,"C1-Ctrl"
"KLRD11","KLRD1",-0.403340909090909,0.00080248633965525,0.00706197799967032,"C1-Ctrl"
"CCL191","CCL19",-0.995957272727274,0.000899542712919652,0.00706197799967032,"C1-Ctrl"
"FASLG1","FASLG",-1.24697363636364,0.000921127565174389,0.00706197799967032,"C1-Ctrl"
"PD.L11","PD.L1",-1.25260272727273,0.00113925220351556,0.00805362009219345,"C1-Ctrl"
"CXCL91","CXCL9",-3.28635,0.00122555088359466,0.00805362009219345,"C1-Ctrl"
"PDCD11","PDCD1",-0.825825454545454,0.00199491240964225,0.0122354627791391,"C1-Ctrl"
"GZMB1","GZMB",-2.04345727272727,0.00320110687023124,0.0166395209631489,"C1-Ctrl"
"CD831","CD83",-0.583553636363636,0.00325217231088193,0.0166395209631489,"C1-Ctrl"
"LAG31","LAG3",-0.995405454545454,0.00325555844931175,0.0166395209631489,"C1-Ctrl"
"IL101","IL10",-1.57592636363636,0.00402865040920904,0.0182785597914236,"C1-Ctrl"
"IL151","IL15",-0.839969090909092,0.00424165820222826,0.0182785597914236,"C1-Ctrl"
"TNF1","TNF",-1.94361545454545,0.00428818292008323,0.0182785597914236,"C1-Ctrl"
"CD401","CD40",-1.20602181818182,0.00440846014428232,0.0182785597914236,"C1-Ctrl"
"CXCL101","CXCL10",-3.28118,0.00456963994785589,0.0182785597914236,"C1-Ctrl"
"CXCL111","CXCL11",-1.65476909090909,0.00525532126182364,0.0201453981703239,"C1-Ctrl"
"IL12RB11","IL12RB1",-0.298286363636364,0.00963958818916268,0.0354736845361187,"C1-Ctrl"
"MCP.21","MCP.2",-2.53077818181818,0.0101519624393679,0.0359223286316094,"C1-Ctrl"
"NOS31","NOS3",-0.515076363636364,0.0105472505934726,0.0359387797999807,"C1-Ctrl"
"CCL41","CCL4",-1.71250909090909,0.0119768323101814,0.0382716490039827,"C1-Ctrl"
"CASP.81","CASP.8",-0.35912,0.0120638893599511,0.0382716490039827,"C1-Ctrl"
"IL131","IL13",-1.27929818181818,0.0127259091529379,0.0390261214023429,"C1-Ctrl"
"CCL171","CCL17",-1.80448363636364,0.0142495006362911,0.0422888405980252,"C1-Ctrl"
"CD41","CD4",-1.01818909090909,0.0164855304900558,0.0460273624448779,"C1-Ctrl"
"CCL231","CCL23",-2.31524090909091,0.0166343257391362,0.0460273624448779,"C1-Ctrl"
"IL51","IL5",-0.396877272727273,0.0170101122078897,0.0460273624448779,"C1-Ctrl"
"LAP.TGF.beta.11","LAP.TGF.beta.1",-1.06978545454546,0.0178151522043241,0.0468284000799375,"C1-Ctrl"
"CD271","CD27",-0.367837272727273,0.0202321526727537,0.0517043901637038,"C1-Ctrl"
"CD2441","CD244",-0.406499090909092,0.0220831603999442,0.054027792167879,"C1-Ctrl"
"Gal.11","Gal.1",-0.462647272727273,0.0223158271997761,0.054027792167879,"C1-Ctrl"
"MMP71","MMP7",-2.03522454545455,0.0244419374061743,0.0566545338888343,"C1-Ctrl"
"MCP.41","MCP.4",-2.29879454545454,0.0246324060386236,0.0566545338888343,"C1-Ctrl"
"CCL31","CCL3",-1.51013454545454,0.0352723302502835,0.0791476678786849,"C1-Ctrl"
"CD51","CD5",-0.829402727272728,0.0375824398629369,0.0810615910644072,"C1-Ctrl"
"IL61","IL6",-2.20391181818182,0.0378874827801034,0.0810615910644072,"C1-Ctrl"
"PD.L21","PD.L2",-0.210199090909091,0.0421902677720107,0.0863466445744217,"C1-Ctrl"
"CCL201","CCL20",-1.52101363636364,0.0422347718027063,0.0863466445744217,"C1-Ctrl"
"IL81","IL8",-1.11842272727273,0.0445925946212234,0.0891851892424469,"C1-Ctrl"
"TNFSF141","TNFSF14",-1.13651727272727,0.0531740526984303,0.104085379750119,"C1-Ctrl"
"CD8A1","CD8A",-0.847846363636365,0.0705138524125715,0.132689324338962,"C1-Ctrl"
"MMP121","MMP12",-1.96753545454546,0.0706714879631427,0.132689324338962,"C1-Ctrl"
"Gal.91","Gal.9",-0.712439090909093,0.0751095912246887,0.138201647853427,"C1-Ctrl"
"ADA1","ADA",-0.413128181818181,0.0779649999151898,0.140642744945048,"C1-Ctrl"
"CAIX1","CAIX",-0.26873,0.0807222055928931,0.142816209895119,"C1-Ctrl"
"CRTAM1","CRTAM",-0.216482727272727,0.092001878706956,0.159701374359244,"C1-Ctrl"
"CSF.11","CSF.1",-0.824977272727276,0.0975746613157919,0.164826256354389,"C1-Ctrl"
"CXCL14","CXCL1",-1.35132454545455,0.0985374358640371,0.164826256354389,"C1-Ctrl"
"TNFRSF12A1","TNFRSF12A",-0.41341,0.122688343638542,0.201559421691891,"C1-Ctrl"
"CD281","CD28",-0.234716363636363,0.127462091070361,0.205728287341635,"C1-Ctrl"
"MIC.A.B1","MIC.A.B",-0.316130909090909,0.199377456082121,0.316253895854399,"C1-Ctrl"
"MCP.11","MCP.1",-0.887308181818184,0.22496122245867,0.350786990952503,"C1-Ctrl"
"TIE21","TIE2",-0.0931254545454552,0.254357601868866,0.390014989532262,"C1-Ctrl"
"MCP.31","MCP.3",-1.31014363636363,0.26327818540758,0.397075296024547,"C1-Ctrl"
"FGF21","FGF2",-0.0863627272727272,0.269231740526036,0.399505163361215,"C1-Ctrl"
"VEGFA1","VEGFA",-0.161666363636363,0.281185393671086,0.407899706081656,"C1-Ctrl"
"IL121","IL12",-0.239526363636365,0.285040559835082,0.407899706081656,"C1-Ctrl"
"TWEAK1","TWEAK",-0.252829999999999,0.291959585236256,0.407899706081656,"C1-Ctrl"
