feat1,Degree,Network,Community,type_1
3-methyl-2-oxovalerate,35,pos_w,1,met
ALDH3A1,22,pos_w,1,prot
(N(1) + N(8))-acetylspermidine,8,pos_w,1,met
2'-O-methyluridine,2,pos_w,1,met
3-(3-amino-3-carboxypropyl)uridine*,95,pos_w,1,met
3-ureidopropionate,5,pos_w,1,met
"5,6-dihydrothymine",12,pos_w,1,met
7-methylguanine,37,pos_w,1,met
1-methyladenosine,47,pos_w,1,met
N6-acetyllysine,47,pos_w,1,met
N6-carbamoylthreonyladenosine,81,pos_w,1,met
3-hydroxyisobutyrate,33,pos_w,1,met
butyrylcarnitine (C4),24,pos_w,1,met
ethylmalonate,25,pos_w,1,met
tiglyl carnitine (C5),23,pos_w,1,met
AFM,57,pos_w,1,prot
FABP4,23,pos_w,1,prot
LCAT,45,pos_w,1,prot
3-methylglutaconate,15,pos_w,1,met
C-glycosyltryptophan,125,pos_w,1,met
hydroxyasparagine,156,pos_w,1,met
methyl indole-3-acetate,22,pos_w,1,met
N-acetylalanine,112,pos_w,1,met
N-acetyltaurine,82,pos_w,1,met
FABP3,94,pos_w,1,prot
GDF15,128,pos_w,1,prot
NUCB2,83,pos_w,1,prot
POLR2F,189,pos_w,1,prot
YAP1,129,pos_w,1,prot
(S)-a-amino-omega-caprolactam,50,pos_w,1,met
"2,3-dihydroxy-5-methylthio-4-pentenoate (DMTPA)*",99,pos_w,1,met
3-amino-2-piperidone,11,pos_w,1,met
4-acetamidobutanoate,103,pos_w,1,met
creatinine,39,pos_w,1,met
cysteinylglycine disulfide*,14,pos_w,1,met
dimethylarginine (ADMA + SDMA),55,pos_w,1,met
dimethylglycine,14,pos_w,1,met
dolutegravir,4,pos_w,1,met
gamma-glutamylphenylalanine,85,pos_w,1,met
"hydroxy-N6,N6,N6-trimethyllysine*",51,pos_w,1,met
kynurenate,48,pos_w,1,met
kynurenine,66,pos_w,1,met
"N,N,N-trimethyl-alanylproline betaine (TMAP)",81,pos_w,1,met
N-acetylputrescine,13,pos_w,1,met
