feat1	feat2	R	p	Padj	name_int
GENDER.x	AGE.x	-0.227811330515927	0.00399243555858741	0.0394576706761167	GENDER.x (interacts with) AGE.x
Duration.of.therapy	AGE.x	0.310682066923814	7.09801460327952e-05	0.00152381881462028	Duration.of.therapy (interacts with) AGE.x
Ethnic	AGE.x	0.268697365069543	0.00069478001220169	0.0101497587432199	Ethnic (interacts with) AGE.x
hypertension	AGE.x	0.232380000243816	0.00330222483147491	0.0342490185935354	hypertension (interacts with) AGE.x
VAT	AGE.x	0.230302203741149	0.0041843321149555	0.0408292879032492	VAT (interacts with) AGE.x
1,5-anhydroglucitol (1,5-AG)	AGE.x	-0.236489839272717	0.00277536421400404	0.0299823610865759	1,5-anhydroglucitol (1,5-AG) (interacts with) AGE.x
1-methyl-4-imidazoleacetate	AGE.x	0.300832968082586	0.000122662532864526	0.00242904404470835	1-methyl-4-imidazoleacetate (interacts with) AGE.x
1-ribosyl-imidazoleacetate*	AGE.x	0.333826017789235	1.81570346449167e-05	0.000472991355723822	1-ribosyl-imidazoleacetate* (interacts with) AGE.x
11-ketoetiocholanolone glucuronide	AGE.x	0.253577020206511	0.00130528197814539	0.0167362318489471	11-ketoetiocholanolone glucuronide (interacts with) AGE.x
11beta-hydroxyandrosterone glucuronide	AGE.x	0.321714098609157	3.75764257785072e-05	0.000888340985639525	11beta-hydroxyandrosterone glucuronide (interacts with) AGE.x
2,3-dihydroxy-5-methylthio-4-pentenoate (DMTPA)*	AGE.x	0.295586830336543	0.000162871767457773	0.00308263893089232	2,3-dihydroxy-5-methylthio-4-pentenoate (DMTPA)* (interacts with) AGE.x
2-methylcitrate/homocitrate	AGE.x	0.223511310551158	0.00475781298849443	0.044867341501376	2-methylcitrate/homocitrate (interacts with) AGE.x
2-methylmalonylcarnitine (C4-DC)	AGE.x	0.238435831999697	0.00255348693333124	0.0281105835698569	2-methylmalonylcarnitine (C4-DC) (interacts with) AGE.x
