"","X","feat1","LFC","FDR","Degree","Community","type_1","driver","SASAP","SASAP_2","SASAP_sign"
"1",1,"(14 or 15)-methylpalmitate (a17:0 or i17:0)",0.487481626168762,0.029862362396735,97,6,"met",NA,NA,NA,"NA_sign"
"2",2,"(16 or 17)-methylstearate (a19:0 or i19:0)",0.334963704240181,0.0595475698966175,101,6,"met",NA,NA,NA,"NA_sign"
"3",3,"(R)-3-hydroxybutyrylcarnitine",0.616025037758745,0.0345531767773953,113,6,"met",NA,NA,NA,"NA_sign"
"4",4,"(S)-3-hydroxybutyrylcarnitine",0.506726311810164,0.0194060594827787,87,6,"met",NA,NA,NA,"NA_sign"
"5",5,"1-stearoyl-2-arachidonoyl-GPS (18:0/20:4)",1.32764518264351,1.97641786753223e-08,386,3,"met",NA,NA,NA,"NA_sign"
"6",6,"1-stearoyl-2-docosahexaenoyl-GPS (18:0/22:6)*",0.757957319906559,0.021796121107279,16,3,"met",NA,NA,NA,"NA_sign"
"7",7,"10-heptadecenoate (17:1n7)",0.674578984513613,0.0207831861781531,99,6,"met",NA,NA,NA,"NA_sign"
"8",8,"10-nonadecenoate (19:1n9)",0.577401086366489,0.0212680328526768,114,6,"met",NA,NA,NA,"NA_sign"
"9",9,"2'-deoxyuridine",-0.235454193502098,0.0630408001795181,2,1,"met",NA,NA,NA,"NA_sign"
"10",10,"2R,3R-dihydroxybutyrate",0.231356756022474,0.069562394582759,15,1,"met",NA,NA,NA,"NA_sign"
"11",11,"3-decenoylcarnitine",0.449858071785468,0.0161360014936739,115,6,"met",NA,NA,NA,"NA_sign"
"12",12,"3-hydroxy-2-ethylpropionate",0.255488567086196,0.0789962498526834,86,6,"met",NA,NA,NA,"NA_sign"
"13",13,"3-hydroxybutyrate (BHBA)",0.746421150279424,0.0237389037948431,116,6,"met",NA,NA,NA,"NA_sign"
"14",14,"3-hydroxydecanoate",0.47648362257003,0.0212680328526768,109,6,"met",NA,NA,NA,"NA_sign"
"15",15,"3-hydroxydecanoylcarnitine",0.639412148869206,0.00476070703674193,122,6,"met",NA,NA,NA,"NA_sign"
"16",16,"3-hydroxyhexanoate",0.293226331158161,0.0955992038821087,108,6,"met",NA,NA,NA,"NA_sign"
"17",17,"3-hydroxyhexanoylcarnitine (1)",0.331747391796758,0.0645767834258164,93,6,"met",NA,NA,NA,"NA_sign"
"18",18,"3-hydroxylaurate",0.669882508569754,0.0207831861781531,118,6,"met",NA,NA,NA,"NA_sign"
"19",19,"3-hydroxymyristate",0.419353513317262,0.0784466510299889,115,6,"met",NA,NA,NA,"NA_sign"
"20",20,"3-hydroxyoctanoate",0.379525707929257,0.0908395046167027,80,6,"met",NA,NA,NA,"NA_sign"
"21",21,"3-hydroxyoleoylcarnitine",0.458311485686856,0.0200865383178785,129,6,"met",NA,NA,NA,"NA_sign"
"22",22,"3-phosphoglycerate",0.476134194876184,0.0033758327625785,222,3,"met",NA,NA,NA,"NA_sign"
"23",23,"5-dodecenoate (12:1n7)",0.522653981804064,0.0374014349912088,95,6,"met",NA,NA,NA,"NA_sign"
"24",24,"5-dodecenoylcarnitine (C12:1)",0.621723058041131,0.0224746295914086,113,6,"met",NA,NA,NA,"NA_sign"
"25",25,"9-hydroxystearate",0.564607782512208,0.0821821343967422,64,6,"met",NA,NA,NA,"NA_sign"
"26",26,"acetylcarnitine (C2)",0.264976079292096,0.0161360014936739,111,6,"met",NA,NA,NA,"NA_sign"
"27",27,"adrenoylcarnitine (C22:4)*",0.445623391762878,0.0595475698966175,36,6,"met",NA,NA,NA,"NA_sign"
