feat1	feat2	R	p	Padj	name_int	type
C3	ADAM23	0.372478348350975	0.00149648599950725	0.0324712804962789	C3 (interacts with) ADAM23	prot-prot
COL15A1	ADAM23	0.359674216392176	0.00222737631292835	0.0442930713984663	COL15A1 (interacts with) ADAM23	prot-prot
GPC1	ADAM23	0.46310908931852	5.41453821443216e-05	0.00217939406499401	GPC1 (interacts with) ADAM23	prot-prot
TCTN3	ADAM23	0.443268305485084	0.00012152913121577	0.00428985304415253	TCTN3 (interacts with) ADAM23	prot-prot
COL15A1	AHNAK2	0.427595377458208	0.000222420320190597	0.00708754092567392	COL15A1 (interacts with) AHNAK2	prot-prot
FH	AHNAK2	0.392354124748491	0.000781252612554795	0.0196981512915141	FH (interacts with) AHNAK2	prot-prot
FN1	AHNAK2	0.390149593211443	0.000841344940300637	0.0208751092434013	FN1 (interacts with) AHNAK2	prot-prot
MASP1	AHNAK2	0.376572478348351	0.00131327988900232	0.0294156367636978	MASP1 (interacts with) AHNAK2	prot-prot
RNF168	AHNAK2	0.409259113471294	0.000435024820238272	0.0122695632989773	RNF168 (interacts with) AHNAK2	prot-prot
3-methyl-2-oxobutyrate	AKAP12	-0.364570028868865	0.00191679432544101	0.039253012980323	3-methyl-2-oxobutyrate (interacts with) AKAP12	met-prot
ANGPT1	AKR1B1	0.569836409762925	2.62330417832857e-07	2.11180098117485e-05	ANGPT1 (interacts with) AKR1B1	prot-prot
ANXA4	AKR1B1	0.720724346076459	1.99551486446126e-12	5.33800226243386e-10	ANXA4 (interacts with) AKR1B1	prot-prot
APLP1	AKR1B1	-0.381856355524451	0.00110681189904316	0.0258625382779148	APLP1 (interacts with) AKR1B1	prot-prot
APP	AKR1B1	0.575785145656548	1.84038565942402e-07	1.5470083055322e-05	APP (interacts with) AKR1B1	prot-prot
ATP6V1G1	AKR1B1	0.490648237249584	1.61768895892145e-05	0.000761544499818566	ATP6V1G1 (interacts with) AKR1B1	prot-prot
C3	AKR1B1	-0.36313533374158	0.00200351302142687	0.0406399797711233	C3 (interacts with) AKR1B1	prot-prot
CCT5	AKR1B1	0.475181523926166	3.22917248594123e-05	0.00140194673607728	CCT5 (interacts with) AKR1B1	prot-prot
CDC26	AKR1B1	0.719114688128773	2.35522712443981e-12	6.20330590313992e-10	CDC26 (interacts with) AKR1B1	prot-prot
CDKN1A	AKR1B1	0.656198057912694	6.9742167596587e-10	1.10554250856812e-07	CDKN1A (interacts with) AKR1B1	prot-prot
CDKN2D	AKR1B1	0.764115125535824	1.4210854715202e-14	5.65790308661066e-12	CDKN2D (interacts with) AKR1B1	prot-prot
DAB2	AKR1B1	0.761105765024932	2.06501482580279e-14	8.03478495857813e-12	DAB2 (interacts with) AKR1B1	prot-prot
DBI	AKR1B1	0.547546146443881	9.32407584475214e-07	6.31773793385845e-05	DBI (interacts with) AKR1B1	prot-prot
DGKA	AKR1B1	0.456009588063885	7.27259300101757e-05	0.00278746549650942	DGKA (interacts with) AKR1B1	prot-prot
DTYMK	AKR1B1	0.534353949785671	1.89350016377432e-06	0.000117878992013878	DTYMK (interacts with) AKR1B1	prot-prot
DUT	AKR1B1	0.509474236724696	6.6577054638195e-06	0.000353974899194378	DUT (interacts with) AKR1B1	prot-prot
ENO1	AKR1B1	0.579424372320882	1.47646064707629e-07	1.27661647868415e-05	ENO1 (interacts with) AKR1B1	prot-prot
FABP5	AKR1B1	0.490228326480623	1.64906631421324e-05	0.00077418689120651	FABP5 (interacts with) AKR1B1	prot-prot
FGF2	AKR1B1	0.524416061586913	3.1664968576095e-06	0.000186076977811011	FGF2 (interacts with) AKR1B1	prot-prot
FKBP5	AKR1B1	0.666345901495932	3.05510727827141e-10	5.21296710338935e-08	FKBP5 (interacts with) AKR1B1	prot-prot
GGCT	AKR1B1	0.532604321581664	2.07537967855664e-06	0.000127349462712866	GGCT (interacts with) AKR1B1	prot-prot
JPT2	AKR1B1	0.685171900971044	6.0524918410465e-11	1.21904306257313e-08	JPT2 (interacts with) AKR1B1	prot-prot
KIF22	AKR1B1	0.422381439797807	0.000270215558676679	0.00830051899360948	KIF22 (interacts with) AKR1B1	prot-prot
LBR	AKR1B1	0.523051351587788	3.39387763825805e-06	0.000196959949718569	LBR (interacts with) AKR1B1	prot-prot
MCFD2	AKR1B1	0.46853293675094	4.30282837764473e-05	0.00180550053493328	MCFD2 (interacts with) AKR1B1	prot-prot
MGMT	AKR1B1	0.539217916192809	1.46335483797166e-06	9.40649618000309e-05	MGMT (interacts with) AKR1B1	prot-prot
MZT1	AKR1B1	0.428291488058788	0.000216662807289492	0.00695487611399268	MZT1 (interacts with) AKR1B1	prot-prot
NEXN	AKR1B1	0.691260607120987	3.49296147561518e-11	7.4439212194023e-09	NEXN (interacts with) AKR1B1	prot-prot
NT5C	AKR1B1	0.422832648062287	0.000265734907184623	0.00820127907528899	NT5C (interacts with) AKR1B1	prot-prot
PAGR1	AKR1B1	0.357746478873239	0.00236154947462852	0.0463289461485565	PAGR1 (interacts with) AKR1B1	prot-prot
PLEKHO1	AKR1B1	0.458595048552183	6.53664342844529e-05	0.0025491420386101	PLEKHO1 (interacts with) AKR1B1	prot-prot
PPP1CC	AKR1B1	0.639751552795031	2.49147924513693e-09	3.32369802675929e-07	PPP1CC (interacts with) AKR1B1	prot-prot
PPP1R14A	AKR1B1	0.690700726095705	3.67612607021783e-11	7.76978744717646e-09	PPP1R14A (interacts with) AKR1B1	prot-prot
PRTFDC1	AKR1B1	0.674184235849882	1.57947432910532e-10	2.94988369246725e-08	PRTFDC1 (interacts with) AKR1B1	prot-prot
PSRC1	AKR1B1	0.645840258944974	1.56903068315728e-09	2.23848377463772e-07	PSRC1 (interacts with) AKR1B1	prot-prot
PSTPIP2	AKR1B1	0.644195608433208	1.77958314750981e-09	2.48367908848108e-07	PSTPIP2 (interacts with) AKR1B1	prot-prot
RANBP1	AKR1B1	0.424201069048417	0.00025255909208699	0.00788058017593428	RANBP1 (interacts with) AKR1B1	prot-prot
RBPMS2	AKR1B1	0.630933426646837	4.78148676208434e-09	5.9318154613684e-07	RBPMS2 (interacts with) AKR1B1	prot-prot
RNASEH2A	AKR1B1	0.610450620709394	2.01316634473869e-08	2.15858504103923e-06	RNASEH2A (interacts with) AKR1B1	prot-prot
RRAS	AKR1B1	0.556456621984568	5.6786489555094e-07	4.11361650712218e-05	RRAS (interacts with) AKR1B1	prot-prot
RRM2B	AKR1B1	0.365339865278628	0.00187166511349757	0.0385904135805841	RRM2B (interacts with) AKR1B1	prot-prot
SAMD9L	AKR1B1	0.595975855130785	5.23568732813118e-08	5.11226047857067e-06	SAMD9L (interacts with) AKR1B1	prot-prot
