feat1	feat2	R	p	Padj	name_int	type
TNFRSF21	ADAM23	0.438031920752732	1.97145291240819e-05	0.00169604391258433	TNFRSF21 (interacts with) ADAM23	prot-prot
COL15A1	AHNAK2	0.508277270966151	4.29343719021702e-07	6.22912243190808e-05	COL15A1 (interacts with) AHNAK2	prot-prot
COL6A3	AHNAK2	0.431298650980945	2.7266347054411e-05	0.00224063933554328	COL6A3 (interacts with) AHNAK2	prot-prot
COLEC12	AHNAK2	0.416480647395144	5.43576176059712e-05	0.00392409241564522	COLEC12 (interacts with) AHNAK2	prot-prot
GM2A	AHNAK2	0.415166778204361	5.76977264736822e-05	0.00412149545436484	GM2A (interacts with) AHNAK2	prot-prot
JUN	AHNAK2	0.437781505505571	1.99562044920221e-05	0.00171396431891347	JUN (interacts with) AHNAK2	prot-prot
LMOD1	AHNAK2	0.551178190271565	2.62482773294437e-08	5.03026687925458e-06	LMOD1 (interacts with) AHNAK2	prot-prot
MANSC1	AHNAK2	0.424377443556056	3.77851988164757e-05	0.00292066471206582	MANSC1 (interacts with) AHNAK2	prot-prot
MMP3	AHNAK2	0.489221936529182	1.32028366750525e-06	0.000163004252795841	MMP3 (interacts with) AHNAK2	prot-prot
NPDC1	AHNAK2	0.520006340037336	2.07709587751737e-07	3.22294997792423e-05	NPDC1 (interacts with) AHNAK2	prot-prot
PCOLCE	AHNAK2	0.419809181651341	4.66839543542541e-05	0.00344001132802653	PCOLCE (interacts with) AHNAK2	prot-prot
PIK3IP1	AHNAK2	0.543165087527738	4.55806521415525e-08	8.21411331224609e-06	PIK3IP1 (interacts with) AHNAK2	prot-prot
TGOLN2	AHNAK2	0.419393469761544	4.75839128524225e-05	0.00348631920699061	TGOLN2 (interacts with) AHNAK2	prot-prot
TNFRSF19	AHNAK2	0.459733981433348	6.60704484878316e-06	0.000675971759827695	TNFRSF19 (interacts with) AHNAK2	prot-prot
TNFRSF21	AHNAK2	0.494727619354322	9.61005143240712e-07	0.00012559090116245	TNFRSF21 (interacts with) AHNAK2	prot-prot
1-ribosyl-imidazoleacetate*	AHNAK2	0.554218564949214	2.12081545658549e-08	4.1259500700845e-06	1-ribosyl-imidazoleacetate* (interacts with) AHNAK2	met-prot
EPHA4	AKAP12	0.512816674445022	3.25206066076333e-07	4.85540219583735e-05	EPHA4 (interacts with) AKAP12	prot-prot
TSC22D1	AKAP12	0.43162635882546	2.6843621065975e-05	0.00221298295015807	TSC22D1 (interacts with) AKAP12	prot-prot
