"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"CNST",-2.81393255977497,0.0628948863636364,-19.8921827332269,5.11299340211148e-47,1.49452797143718e-43,96.2130301875622
"DPEP2",1.2087935302391,-1.70753863636364,18.3705786866526,6.96322319740718e-43,1.01767507030106e-39,86.8370843772656
"C3",2.0867741209564,-0.174618181818182,17.4769599059849,2.10252470828738e-40,2.04855990744133e-37,81.2065094034754
"ITGAL",2.14865963431786,0.629865909090909,16.0181706669518,2.77787135882751e-36,2.0299294954632e-33,71.8415822034757
"ARHGEF12",-2.59899008438819,-0.0736676136363636,-15.8442481962054,8.71551072584704e-36,5.09508757033018e-33,70.7125014651392
"LTA4H",1.47256898734177,0.649415340909091,15.2066832920102,5.87104336103806e-34,2.86017662405237e-31,66.5542902182132
"TRIM25",-2.83817130801688,-0.239070454545455,-14.7780725771673,1.00954296605166e-32,4.21556298538429e-30,63.7440105379289
"CDC42BPB",-2.31994592123769,-0.153467613636364,-13.6800112003835,1.53240289439182e-29,5.59901707538411e-27,56.5055197003495
"BMP4",1.42889345991561,-0.183676704545455,13.0218899410688,1.25246281429587e-27,4.06772089576314e-25,52.1534263529712
"PLXNA4",-2.10916856540084,0.337808522727273,-12.9212826179121,2.45549435100641e-27,7.17740998799174e-25,51.4880503963951
"SDCCAG8",-2.52580977496484,-0.678999431818182,-12.8336166280528,4.41439589449482e-27,1.17302538178258e-24,50.9083400750538
"CALCOCO1",-2.47234669479606,-0.2217875,-12.7501906419721,7.71335827325458e-27,1.8788455193936e-24,50.3567610534886
"ARHGAP45",-1.79850133614627,0.110208522727273,-12.6776569487958,1.25294286679929e-26,2.81719384588794e-24,49.877290911177
"ITPA",-1.57585914205345,0.695547159090909,-12.6541246847996,1.46647947534069e-26,3.06179964744346e-24,49.7217569421977
"TRIM5",-1.72650372714487,-0.0793517045454546,-12.5109452646716,3.81942060520607e-26,7.44277761934489e-24,48.7756973171772
"BRAP",-2.66987862165963,-0.700828409090909,-12.3000315817234,1.56292969309284e-25,2.85527718306899e-23,47.3831358613086
"NFATC1",-1.43490042194093,-0.238215909090909,-12.1896733611714,3.26487463743566e-25,5.61366386189672e-23,46.6551196257443
"PDE5A",-2.43001877637131,-0.545860795454545,-11.9721197988303,1.39280652260817e-24,2.26176303643538e-22,45.2215164020115
"KAZN",-2.36755274261603,-0.3716,-11.7897393019227,4.6908480713049e-24,7.2164994275917e-22,44.0215972074596
"IKBKG",-1.62700717299578,-0.335692045454545,-11.6494560305839,1.19206416889379e-23,1.74220178283828e-21,43.1000349170199
"GYS1",-2.6286888185654,-1.49777897727273,-11.4547994127765,4.3388391651392e-23,5.95955104812807e-21,41.8235784332583
"PMM2",-1.45744592123769,0.0960221590909091,-11.4497861767225,4.4854643537057e-23,5.95955104812807e-21,41.7907426460661
"OPHN1",-2.46290288326301,-0.663853977272727,-10.7701929245153,3.97469160729091e-21,5.05131459483102e-19,37.3612665557712
"TNIP1",-1.89315042194093,-0.263499431818182,-10.7535970178359,4.43201174575833e-21,5.3978209720215e-19,37.2537173297884
"ADAMTS15",-2.41884486638537,0.696614772727273,-10.7034961090127,6.15601427591935e-21,7.19761189140491e-19,36.9292449990153
"DOK1",-3.09630654008439,-0.394672159090909,-10.5595543574104,1.57954122570705e-20,1.77576884720835e-18,35.9988000880791
"TJAP1",-1.58220928270042,-0.0157090909090909,-10.5084170111141,2.20616606710316e-20,2.38837904227502e-18,35.668907117718
"MAP3K5",-2.0673335443038,0.253848295454545,-10.4307315815826,3.66257721621016e-20,3.82346900106511e-18,35.168442176481
"SMTN",-1.88637855133615,0.49201875,-10.3854024945859,4.92125146614599e-20,4.96028208122232e-18,34.8768200264633
"DNPEP",1.75093832630098,0.577803977272727,10.3379645158558,6.70189439372499e-20,6.52987910428605e-18,34.5719520259409
