"","x"
"1","TMEM40"
"2","CTSZ"
"3","GRN"
"4","CTSD"
"5","RPS15"
"6","GPNMB"
"7","F5"
"8","S100A11"
"9","CNST"
"10","STK38"
"11","LGALS3"
"12","RTN2"
"13","CAPG"
"14","CTSL"
"15","IFI30"
"16","VIM"
"17","FABP5"
"18","VAT1"
"19","FUCA1"
"20","HEXA"
"21","ACTBL2"
"22","NCEH1"
"23","RPL29"
"24","RPL8"
"25","SLC2A3"
"26","VSIR"
"27","CXCL8"
"28","RPS20"
"29","RPLP2"
"30","MYH7"
"31","ANXA1"
"32","RPS3A"
"33","LSP1"
"34","RPL10A"
"35","ANXA2"
"36","CMTM5"
"37","SQSTM1"
"38","ADGRB3"
"39","FCGR3A"
"40","LMNA"
"41","THBS1"
"42","UBA52"
"43","FGA"
"44","RPL23A"
"45","RPS19"
"46","TOM1"
"47","SRP54"
"48","CTSB"
"49","RPL27A"
"50","CAVIN2"
"51","LRP1"
"52","PYCARD"
"53","MPIG6B"
"54","ITGA2B"
"55","CPPED1"
"56","NRGN"
"57","CTTN"
"58","PLBD2"
"59","YBX1"
"60","PTGS1"
"61","CDS2"
"62","PPBP"
"63","VWF"
"64","IL1B"
"65","LGMN"
"66","PDLIM1"
"67","SARS2"
"68","ABHD12"
"69","RALB"
"70","VASP"
"71","GAA"
"72","TREML1"
"73","FAM49B"
"74","PLD3"
"75","PSAP"
"76","PGRMC1"
"77","CSTB"
"78","SERPINE1"
"79","FGB"
"80","ENDOD1"
"81","KIAA0513"
"82","ANO6"
"83","ANXA5"
"84","RPS17"
"85","AMPD2"
"86","PRAF2"
"87","NPM1"
"88","STOM"
"89","LCP1"
"90","TAS1R1"
"91","SELP"
"92","MMRN1"
"93","PGAM5"
"94","PECAM1"
"95","LTBP1"
"96","RRBP1"
"97","STIM1"
"98","MYL12A"
"99","FGFR1OP2"
"100","LTA4H"
"101","CTSS"
"102","LGALS1"
"103","NID1"
"104","RPL35"
"105","MYL9"
"106","AK3"
"107","ANPEP"
"108","GSN"
"109","ILF3"
"110","ANXA4"
"111","NPC2"
"112","S100A10"
"113","TMEM109"
"114","PABPC1"
"115","MYH9"
"116","CALD1"
"117","A2M"
"118","NCL"
"119","SLC36A1"
"120","SLMAP"
"121","ITGAX"
"122","TLN2"
"123","ITGB1"
"124","SPARC"
"125","HLA-E"
"126","ITGB3"
"127","FLOT2"
"128","NCF2"
"129","RPS13"
"130","TGFB1"
"131","SCAMP4"
"132","ANP32B"
"133","HEXB"
"134","RPL13"
"135","AHNAK"
"136","ATP5PD"
"137","KCTD12"
"138","HMGB2"
"139","CLU"
"140","FCN1"
"141","RPLP0"
"142","SCARB2"
"143","DNAH9"
"144","FGG"
"145","PF4"
"146","RPL19"
"147","DNASE2"
"148","ATP5F1A"
"149","PHB2"
"150","SEPTIN7"
"151","ISOC1"
"152","ATP5F1C"
"153","HMGB1"
"154","PTK2"
"155","RPL21"
"156","BLVRB"
"157","ATP6V1H"
"158","MAOB"
"159","LACC1"
"160","MAN2B1"
"161","HSPB1"
"162","MYL6"
"163","ITGA2"
"164","HEBP1"
"165","SET"
"166","RPS28"
"167","NNT"
"168","CD163"
"169","RPL32"
"170","RPS2"
"171","RPS25"
"172","ATP5F1B"
"173","RBMX"
"174","ESAM"
"175","HNRNPD"
"176","TAGLN2"
"177","HNRNPK"
"178","ILF2"
"179","PF4V1"
"180","RNF13"
"181","ZNF185"
"182","TUBA1C"
"183","EEF2"
"184","RPL7"
"185","ERI2"
"186","SRSF7"
"187","RPS18"
"188","NAGK"
"189","KHDRBS1"
"190","LCP2"
"191","FBP1"
"192","RNASET2"
"193","LRMP"
"194","RPL36"
"195","RPL13A"
"196","ATP2A3"
"197","STRN"
"198","TBXAS1"
"199","LY6G6F"
"200","TBC1D2"
"201","C11orf58"
"202","ATP8A1"
"203","F13A1"
"204","LMAN1"
"205","BASP1"
"206","CHCHD3"
"207","ACTN1"
"208","APP"
"209","AKR1A1"
"210","GCLM"
"211","RPL3"
"212","GPD2"
"213","DAAM1"
"214","ECE1"
"215","PTMA"
"216","SDCBP"
"217","ZYX"
"218","PPIF"
"219","PDLIM7"
"220","GP9"
"221","AIF1"
"222","CCS"
"223","GNAQ"
"224","S100A6"
"225","SKAP2"
"226","FAM162A"
"227","RPL26"
"228","ARL6IP5"
"229","C1orf116"
"230","ALOX12"
"231","TUBB1"
"232","MACROH2A1"
"233","YWHAH"
"234","FUS"
"235","INPP5D"
"236","TLN1"
"237","GLUL"
"238","TUBA8"
"239","MLEC"
"240","PGRMC2"
"241","CYB5R3"
"242","SNRPA"
"243","UQCRC2"
"244","PREX1"
"245","RPLP1"
"246","H1-0"
"247","COX6C"
"248","ANP32A"
"249","RPS10"
"250","SOAT1"
"251","SCAMP1"
"252","DBI"
"253","GP1BB"
"254","SAMHD1"
"255","ATP5MG"
"256","MYH14"
"257","CPVL"
"258","KALRN"
"259","ENO2"
"260","TFRC"
"261","SUB1"
"262","TMED10"
"263","ASAH1"
"264","H2AW"
"265","RPL28"
"266","ITGA6"
"267","HLA-A"
"268","PROS1"
"269","HK3"
"270","MCU"
"271","RPL4"
"272","IDH1"
"273","RPS5"
"274","ADCY6"
"275","CMIP"
"276","CYC1"
"277","RPS4X"
"278","FUBP1"
"279","ABHD16A"
"280","SIRPB1"
"281","RASA1"
"282","STX11"
"283","RPS29"
"284","MED13"
"285","LMNB1"
"286","PSTPIP2"
"287","CERS2"
"288","GCDH"
"289","SH3BP1"
"290","LRRC57"
"291","HPSE"
"292","LAMP1"
"293","ECH1"
"294","VCL"
"295","LUC7L"
"296","IMMT"
"297","CHMP5"
"298","LGALSL"
"299","ATP6V1G1"
"300","CMTM6"
"301","FGD3"
"302","HADH"
"303","PTBP1"
"304","UBR5"
"305","ATCAY"
"306","INF2"
"307","TRA2B"
"308","BCAP29"
"309","PEBP1"
"310","MDH2"
"311","SYTL4"
"312","FLNA"
"313","EMD"
"314","SRSF1"
"315","TAF15"
"316","HSPD1"
"317","RPL7A"
"318","SEPTIN6"
"319","SNCA"
"320","FN1"
"321","UBE2L3"
"322","LDHB"
"323","CPNE1"
"324","FKBP3"
"325","CCL5"
"326","EEF1A1"
"327","RPL12"
"328","RAB27B"
"329","RPL17"
"330","PDE5A"
"331","RPL6"
"332","SERPINB10"
"333","STOML2"
"334","CAPZA2"
"335","EZR"
"336","GUCY1A1"
"337","TPM1"
"338","RTN4"
"339","RPS8"
"340","PARVB"
"341","CRELD1"
"342","TALDO1"
"343","GRB2"
"344","MYCT1"
"345","EML3"
"346","IQGAP1"
"347","UQCRQ"
"348","SGTB"
"349","HK1"
"350","AP1S1"
"351","SHOC1"
"352","TUBA4A"
"353","PPM1A"
"354","TPP2"
"355","ACOX1"
