"","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"16","CD6",0,0.738230299017272,0.634,0.288,0,"CD4 T","CD6"
"21","LAT",0,0.707503755788293,0.81,0.437,0,"CD4 T","LAT"
"30","NPM1",0,0.618607423218092,0.981,0.877,0,"CD4 T","NPM1"
"40","RPL14",0,0.571546352746412,1,0.983,0,"CD4 T","RPL14"
"92","CD40LG",5.37092688086267e-294,0.66842279961648,0.39,0.105,1.15297687351479e-289,"CD4 T","CD40LG"
"100","LDLRAP1",1.46240648186352e-267,0.658369585574786,0.615,0.311,3.13934799461642e-263,"CD4 T","LDLRAP1"
"119","DGKA",3.99053169845723e-215,0.601633689041976,0.611,0.348,8.56647439707813e-211,"CD4 T","DGKA"
"123","EPHX2",3.87662580520375e-210,0.577135214571615,0.344,0.115,8.32195261603089e-206,"CD4 T","EPHX2"
"125","EEF1D",1.45544054540557e-202,0.346499225005885,0.998,0.975,3.12439421882213e-198,"CD4 T","EEF1D"
"127","DNAJB1",1.44930625821493e-190,0.524909595291261,0.825,0.628,3.11122574450999e-186,"CD4 T","DNAJB1"
"128","RGCC",3.14118474110968e-189,0.535641529538812,0.565,0.299,6.74318128374015e-185,"CD4 T","RGCC"
"139","FYB1",1.32720775361298e-175,0.457798064677386,0.927,0.761,2.84911688468098e-171,"CD4 T","FYB1"
"147","ITGA6",5.7021043123423e-162,0.508245440202389,0.377,0.164,1.22407073273052e-157,"CD4 T","ITGA6"
"154","PRDX2",4.62432764112158e-155,0.472673640743734,0.615,0.396,9.9270441471957e-151,"CD4 T","PRDX2"
"155","HSPB1",2.77594090308279e-153,0.502273508639869,0.606,0.389,5.95911233664783e-149,"CD4 T","HSPB1"
"162","SKAP1",1.62816126356037e-135,0.41422683135494,0.569,0.335,3.49517378448505e-131,"CD4 T","SKAP1"
"166","FXYD5",8.23161972987087e-132,0.331365797613963,0.971,0.949,1.76708180741138e-127,"CD4 T","FXYD5"
"170","PLSCR3",7.78999265191333e-129,0.477984583975934,0.566,0.378,1.67227772258624e-124,"CD4 T","PLSCR3"
"179","SOD1",2.17359700150987e-120,0.367499661774515,0.804,0.659,4.66606068314125e-116,"CD4 T","SOD1"
"195","CD69",6.58774105089941e-107,0.374384566287478,0.724,0.503,1.41419037139658e-102,"CD4 T","CD69"
"197","RGS10",2.44662863174352e-104,0.266174694426655,0.696,0.535,5.25217768376381e-100,"CD4 T","RGS10"
"198","PPP1R2",2.06450189988954e-102,0.39403544100429,0.698,0.549,4.43186622849287e-98,"CD4 T","PPP1R2"
"205","PSIP1",4.03985359878323e-97,0.390115057182649,0.617,0.46,8.67235372050795e-93,"CD4 T","PSIP1"
"209","ST13",3.50668870170539e-93,0.385977413986553,0.732,0.612,7.52780863595096e-89,"CD4 T","ST13"
"218","FOXO1",1.21957755256653e-86,0.366844902892692,0.415,0.259,2.61806713209458e-82,"CD4 T","FOXO1"
"233","TNFAIP8",4.98369526894745e-79,0.341430547267752,0.598,0.456,1.06984986338495e-74,"CD4 T","TNFAIP8"
"240","NCK2",1.96289230959486e-75,0.295017125812705,0.473,0.32,4.21374092100728e-71,"CD4 T","NCK2"
"243","PEBP1",2.19387276275158e-74,0.296934262445461,0.71,0.57,4.70958665979882e-70,"CD4 T","PEBP1"
"248","EIF4B",2.38206352735045e-71,0.305202983036021,0.838,0.742,5.1135757741632e-67,"CD4 T","EIF4B"
"260","SEPTIN9",3.14439276010462e-65,0.274136954118497,0.848,0.766,6.75006793811659e-61,"CD4 T","SEPTIN9"
"268","IL16",1.10685732414828e-58,0.296740388833009,0.645,0.529,2.37609061774912e-54,"CD4 T","IL16"
"278","SIT1",6.31784590725152e-55,0.265267787670976,0.401,0.267,1.35625198090968e-50,"CD4 T","SIT1"
"306","TBCC",3.13089451044368e-35,0.268260034076142,0.316,0.226,6.72109124556945e-31,"CD4 T","TBCC"
"314","FCN1",0,3.81654177595295,0.978,0.041,0,"CD14+ Mono","FCN1"
"317","IFI30",0,3.45825785944153,0.979,0.113,0,"CD14+ Mono","IFI30"
"318","CST3",0,3.4300868650452,0.984,0.07,0,"CD14+ Mono","CST3"
"320","CTSS",0,3.0993970210913,0.981,0.385,0,"CD14+ Mono","CTSS"
"324","AIF1",0,2.91617445792782,0.971,0.191,0,"CD14+ Mono","AIF1"
"325","TNFAIP2",0,2.88432885978254,0.919,0.039,0,"CD14+ Mono","TNFAIP2"
"327","PSAP",0,2.83303779119829,0.986,0.592,0,"CD14+ Mono","PSAP"
"329","TYMP",0,2.79272832402177,0.959,0.149,0,"CD14+ Mono","TYMP"
