Entry	Reviewed	Entry Name	Gene Names	Organism	Length	Subcellular location [CC]	Topological domain	Transmembrane																																			Gene Ontology (cellular component)
A0A024R7A8	unreviewed	A0A024R7A8_HUMAN	AKR1B1 hCG_20344	Homo sapiens (Human)	316																																						cytosol [GO:0005829]; nucleoplasm [GO:0005654]
Q01432	reviewed	AMPD3_HUMAN	AMPD3	Homo sapiens (Human)	767																																						cytosol [GO:0005829]; extracellular region [GO:0005576]; ficolin-1-rich granule lumen [GO:1904813]; secretory granule lumen [GO:0034774]
Q15389	reviewed	ANGP1_HUMAN	ANGPT1 KIAA0003	Homo sapiens (Human)	498	SUBCELLULAR LOCATION: Secreted.																																					collagen-containing extracellular matrix [GO:0062023]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; membrane raft [GO:0045121]; microvillus [GO:0005902]; plasma membrane [GO:0005886]
P09525	reviewed	ANXA4_HUMAN	ANXA4 ANX4	Homo sapiens (Human)	319	SUBCELLULAR LOCATION: Zymogen granule membrane {ECO:0000250|UniProtKB:P50994}; Peripheral membrane protein {ECO:0000250|UniProtKB:P50994}.																																					cell surface [GO:0009986]; collagen-containing extracellular matrix [GO:0062023]; cytoplasm [GO:0005737]; cytoplasmic vesicle [GO:0031410]; extracellular exosome [GO:0070062]; nuclear membrane [GO:0031965]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; vesicle membrane [GO:0012506]
P27695	reviewed	APEX1_HUMAN	APEX1 APE APE1 APEX APX HAP1 REF1	Homo sapiens (Human)	318	SUBCELLULAR LOCATION: Nucleus. Nucleus, nucleolus. Nucleus speckle. Endoplasmic reticulum. Cytoplasm. Note=Detected in the cytoplasm of B-cells stimulated to switch (By similarity). Colocalized with SIRT1 in the nucleus. Colocalized with YBX1 in nuclear speckles after genotoxic stress. Together with OGG1 is recruited to nuclear speckles in UVA-irradiated cells. Colocalized with nucleolin and NPM1 in the nucleolus. Its nucleolar localization is cell cycle dependent and requires active rRNA transcription. Colocalized with calreticulin in the endoplasmic reticulum. Translocation from the nucleus to the cytoplasm is stimulated in presence of nitric oxide (NO) and function in a CRM1-dependent manner, possibly as a consequence of demasking a nuclear export signal (amino acid position 64-80). S-nitrosylation at Cys-93 and Cys-310 regulates its nuclear-cytosolic shuttling. Ubiquitinated form is localized predominantly in the cytoplasm. {ECO:0000250}.; SUBCELLULAR LOCATION: [DNA-(apurinic or apyrimidinic site) endonuclease, mitochondrial]: Mitochondrion. Note=The cleaved APEX2 is only detected in mitochondria (By similarity). Translocation from the cytoplasm to the mitochondria is mediated by ROS signaling and cleavage mediated by granzyme A. Tom20-dependent translocated mitochondrial APEX1 level is significantly increased after genotoxic stress. {ECO:0000250}.																																					centrosome [GO:0005813]; chromosome, telomeric region [GO:0000781]; cytoplasm [GO:0005737]; endoplasmic reticulum [GO:0005783]; mitochondrion [GO:0005739]; nuclear speck [GO:0016607]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; ribosome [GO:0005840]; transcription regulator complex [GO:0005667]
P51693	reviewed	APLP1_HUMAN	APLP1	Homo sapiens (Human)	650	SUBCELLULAR LOCATION: Cell membrane; Single-pass type I membrane protein.; SUBCELLULAR LOCATION: [C30]: Cytoplasm. Note=C-terminally processed in the Golgi complex.	"TOPO_DOM 39..580; /note=""Extracellular""; /evidence=""ECO:0000255""; TOPO_DOM 604..650; /note=""Cytoplasmic""; /evidence=""ECO:0000255"""	"TRANSMEM 581..603; /note=""Helical""; /evidence=""ECO:0000255"""																																			basement membrane [GO:0005604]; Golgi apparatus [GO:0005794]; nucleoplasm [GO:0005654]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]
A0A140VJC8	unreviewed	A0A140VJC8_HUMAN		Homo sapiens (Human)	770	SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|ARBA:ARBA00004251, ECO:0000256|RuleBase:RU367156}; Single-pass type I membrane protein {ECO:0000256|ARBA:ARBA00004251, ECO:0000256|RuleBase:RU367156}. Cell projection, growth cone {ECO:0000256|ARBA:ARBA00004624}. Cell surface {ECO:0000256|ARBA:ARBA00004241}. Cytoplasmic vesicle {ECO:0000256|ARBA:ARBA00004541}. Early endosome {ECO:0000256|ARBA:ARBA00004412}. Endoplasmic reticulum {ECO:0000256|ARBA:ARBA00004240}. Endosome {ECO:0000256|ARBA:ARBA00004177}. Golgi apparatus {ECO:0000256|ARBA:ARBA00004555}. Membrane, clathrin-coated pit {ECO:0000256|ARBA:ARBA00004600}. Membrane {ECO:0000256|ARBA:ARBA00004479}; Single-pass type I membrane protein {ECO:0000256|ARBA:ARBA00004479}. Nucleus {ECO:0000256|ARBA:ARBA00004123}. Perikaryon {ECO:0000256|ARBA:ARBA00004484}. Secreted {ECO:0000256|ARBA:ARBA00004613}. Vesicle {ECO:0000256|ARBA:ARBA00004373}.		"TRANSMEM 701..723; /note=""Helical""; /evidence=""ECO:0000256|RuleBase:RU367156"""																																			apical part of cell [GO:0045177]; astrocyte projection [GO:0097449]; cell surface [GO:0009986]; cell-cell junction [GO:0005911]; ciliary rootlet [GO:0035253]; clathrin-coated pit [GO:0005905]; COPII-coated ER to Golgi transport vesicle [GO:0030134]; early endosome [GO:0005769]; extracellular space [GO:0005615]; Golgi apparatus [GO:0005794]; Golgi-associated vesicle [GO:0005798]; growth cone filopodium [GO:1990812]; growth cone lamellipodium [GO:1990761]; main axon [GO:0044304]; membrane raft [GO:0045121]; neuromuscular junction [GO:0031594]; neuronal dense core vesicle [GO:0098992]; nucleus [GO:0005634]; perikaryon [GO:0043204]; perinuclear region of cytoplasm [GO:0048471]; presynaptic active zone [GO:0048786]; recycling endosome [GO:0055037]; rough endoplasmic reticulum [GO:0005791]; smooth endoplasmic reticulum [GO:0005790]; spindle midzone [GO:0051233]; synaptic vesicle [GO:0008021]
A8K0B6	unreviewed	A8K0B6_HUMAN		Homo sapiens (Human)	395	SUBCELLULAR LOCATION: Lysosome {ECO:0000256|PIRNR:PIRNR017632}.																																					lysosome [GO:0005764]
P00966	reviewed	ASSY_HUMAN	ASS1 ASS	Homo sapiens (Human)	412	SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000269|PubMed:28985504, ECO:0000305|PubMed:27287393}.																																					cell body fiber [GO:0070852]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; extracellular exosome [GO:0070062]; lysosome [GO:0005764]; mitochondrial outer membrane [GO:0005741]; nucleoplasm [GO:0005654]; perikaryon [GO:0043204]
Q8WYN0	reviewed	ATG4A_HUMAN	ATG4A APG4A AUTL2	Homo sapiens (Human)	398	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:Q8BGE6}.																																					cytoplasm [GO:0005737]
