"","BIOCHEMICAL","logFC","P.Value","adj.P.Val","Comp","Gene_name"
"P27169","P27169",2.1517428465455,4.87419509522001e-09,5.22026244859913e-06,"Control vs hc-like","PON1"
"P05090","P05090",1.34113331216406,5.15249794029436e-09,5.22026244859913e-06,"Control vs hc-like","APOD"
"O95445","O95445",1.74698651835847,6.70435885887371e-09,5.22026244859913e-06,"Control vs hc-like","APOM"
"Q92743","Q92743",-1.04638197794717,7.57538590188858e-09,5.22026244859913e-06,"Control vs hc-like","HTRA1"
"P19823","P19823",1.78717163546843,8.48069397985775e-09,5.22026244859913e-06,"Control vs hc-like","ITIH2"
"Q96HC4","Q96HC4",-1.20648092301384,8.95897121723513e-09,5.22026244859913e-06,"Control vs hc-like","PDLIM5"
"Q14520","Q14520",1.47507132027463,9.01888304826429e-09,5.22026244859913e-06,"Control vs hc-like","HABP2"
"P02654","P02654",3.51558518741747,9.25429281782279e-09,5.22026244859913e-06,"Control vs hc-like","APOC1"
"P0C0L5","P0C0L5",1.25571694572796,1.06724760162176e-08,5.38467842927011e-06,"Control vs hc-like","C4B"
"P00450","P00450",1.84912365519707,1.12813569025804e-08,5.38467842927011e-06,"Control vs hc-like","CP"
"P01024","P01024",2.10050744117073,1.48469193129335e-08,5.64854169923141e-06,"Control vs hc-like","C3"
"P12259","P12259",1.48164370721917,1.56750414859833e-08,5.64854169923141e-06,"Control vs hc-like","F5"
"P02647","P02647",2.47053284854953,1.58994549082129e-08,5.64854169923141e-06,"Control vs hc-like","APOA1"
"P02511","P02511",2.4848726410415,1.66829044147601e-08,5.64854169923141e-06,"Control vs hc-like","CRYAB"
"P02749","P02749",2.03352151639644,1.72960986761316e-08,5.64854169923141e-06,"Control vs hc-like","APOH"
"P00738","P00738",1.80538581067933,1.86677032447739e-08,5.77355918192348e-06,"Control vs hc-like","HP"
"P02774","P02774",1.560993716825,1.95398457405952e-08,5.77355918192348e-06,"Control vs hc-like","GC"
"P01023","P01023",1.91329367009504,2.10112463891765e-08,5.92612653840183e-06,"Control vs hc-like","A2M"
"P02656","P02656",2.0793682211615,2.22162043810434e-08,5.97034860267461e-06,"Control vs hc-like","APOC3"
"P01042","P01042",2.29406401578007,2.38109098593074e-08,5.97034860267461e-06,"Control vs hc-like","KNG1"
