"","BIOCHEMICAL","logFC","P.Value","adj.P.Val","Comp","Gene_name"
"P02654","P02654",2.36610221382504,2.35043615278795e-10,4.00279276819788e-07,"Control vs at-risk","APOC1"
"P02511","P02511",1.22554495667843,5.2401524055491e-08,4.46198977332506e-05,"Control vs at-risk","CRYAB"
"P02647","P02647",2.196120430146,1.69103761204912e-07,7.13335353545734e-05,"Control vs at-risk","APOA1"
"P01011","P01011",2.29286475125758,3.52601610822197e-07,8.65305924052714e-05,"Control vs at-risk","SERPINA3"
"P04004","P04004",1.68197977212723,3.55674777942983e-07,8.65305924052714e-05,"Control vs at-risk","VTN"
"P02760","P02760",1.73731080561553,5.84667420052152e-07,0.000124461077043602,"Control vs at-risk","AMBP"
"P00450","P00450",1.5741318267093,1.02623081325407e-06,0.000174767107497169,"Control vs at-risk","CP"
"P03952","P03952",1.4512770729736,1.6541415141631e-06,0.000251337344661426,"Control vs at-risk","KLKB1"
"Q14624","Q14624",1.00517338403117,1.91166617867551e-06,0.000251337344661426,"Control vs at-risk","ITIH4"
"P02766","P02766",1.7522466790601,2.0078201764507e-06,0.000251337344661426,"Control vs at-risk","TTR"
"P69905","P69905",1.04593257973594,2.06966970414225e-06,0.000251337344661426,"Control vs at-risk","HBA1"
"P68871","P68871",1.64923536632613,2.21377578973657e-06,0.000251337344661426,"Control vs at-risk","HBB"
"Q9ULJ3","Q9ULJ3",1.08151157820663,3.66546405566918e-06,0.000368631192072536,"Control vs at-risk","ZBTB21"
"Q53EQ6","Q53EQ6",0.7142614303648,3.98776515095239e-06,0.000368631192072536,"Control vs at-risk","TIGD5"
"P04196","P04196",1.16540668650083,4.23493904477747e-06,0.000368631192072536,"Control vs at-risk","HRG"
"P02751","P02751",1.20937972547999,4.34032211084614e-06,0.000368631192072536,"Control vs at-risk","FN1"
"P02656","P02656",1.49512412343404,4.8415913897017e-06,0.000368631192072536,"Control vs at-risk","APOC3"
"Q99439","Q99439",0.692312040081635,4.86222125417347e-06,0.000368631192072536,"Control vs at-risk","CNN2"
"P0C0L4","P0C0L4",0.915792258243702,4.97857746193091e-06,0.000368631192072536,"Control vs at-risk","C4A"
"P01009","P01009",2.1581792114683,5.57431167763069e-06,0.000379722111480202,"Control vs at-risk","SERPINA1"
"O15371","O15371",0.646589135617965,6.26410503552436e-06,0.000387915106253084,"Control vs at-risk","EIF3D"
"P02787","P02787",1.2177069055518,6.37793480627501e-06,0.000387915106253084,"Control vs at-risk","TF"
"P53618","P53618",0.774948404807002,7.0115295240142e-06,0.00041174602687573,"Control vs at-risk","COPB1"
"Q13263","Q13263",-0.487691064540162,9.62635470098652e-06,0.000546456068526001,"Control vs at-risk","TRIM28"
