feat1,type_1
TSPAN6,txn
CFH,txn
ENPP4,txn
LAP3,txn
HS3ST1,txn
WNT16,txn
TMEM176A,txn
DBNDD1,txn
PLXND1,txn
CD38,txn
PDK4,txn
SLC22A16,txn
SLC4A1,txn
MEOX1,txn
PRKAR2B,txn
TSPOAP1,txn
MPO,txn
ABCB4,txn
SOX8,txn
ITGA2B,txn
SPATA20,txn
TNFRSF12A,txn
ALDH3B1,txn
IFRD1,txn
PRSS21,txn
CCDC124,txn
GAS7,txn
MATK,txn
CD79B,txn
SCN4A,txn
TKTL1,txn
CACNA2D2,txn
BAIAP3,txn
MYLIP,txn
SYN1,txn
CDK11A,txn
AASS,txn
MGST1,txn
MMP25,txn
TENM1,txn
ETV7,txn
CD9,txn
STAB1,txn
MRC2,txn
NME1.NME2,txn
TSPAN9,txn
PLAUR,txn
ANLN,txn
ZBTB32,txn
TYROBP,txn
CD22,txn
LTF,txn
KDM5D,txn
CLK1,txn
DDX11,txn
GPRC5A,txn
MAMLD1,txn
ACPP,txn
MTMR11,txn
RGPD5,txn
CHDH,txn
IGF1,txn
SLC11A1,txn
MARCO,txn
CYP24A1,txn
HGF,txn
ADGRA2,txn
SAMD4A,txn
OSBPL5,txn
NLRP2,txn
BIRC3,txn
GCLM,txn
DEPDC1,txn
TYMP,txn
VIM,txn
KCNG1,txn
SLAMF7,txn
SH2D2A,txn
TNFRSF1B,txn
ARNTL2,txn
ANK1,txn
HMGB3,txn
IKZF2,txn
GRN,txn
ARHGAP31,txn
LRRC7,txn
GAB2,txn
SLC4A7,txn
SH3YL1,txn
DEPDC1B,txn
DAPK2,txn
STAP1,txn
TIMP2,txn
MYOM2,txn
SLC18A1,txn
USP2,txn
FLT4,txn
PI4K2B,txn
VCAN,txn
MSR1,txn
CDH1,txn
RAI14,txn
RAB27B,txn
MYO16,txn
CAPG,txn
ADAM28,txn
ADRB1,txn
CTNNA1,txn
CNTLN,txn
GPM6B,txn
XK,txn
SCML1,txn
ARHGAP6,txn
TNFRSF17,txn
ADAMTS6,txn
UTS2,txn
TNFRSF9,txn
LTBP1,txn
FOXP3,txn
NEXMIF,txn
DKK3,txn
ARHGEF5,txn
NFE2L3,txn
LAMC3,txn
TNIP3,txn
HOMER3,txn
RAD51,txn
RRP12,txn
KCNQ1,txn
ATP9A,txn
RELT,txn
KCNH2,txn
MCOLN3,txn
ITIH4,txn
IL17RB,txn
DCBLD2,txn
PKP2,txn
MSH4,txn
TMCC3,txn
CDK14,txn
DGKG,txn
FLYWCH1,txn
TBXAS1,txn
MXD1,txn
SLC2A3,txn
PSD,txn
YBX3,txn
STYK1,txn
GNA15,txn
RIMBP2,txn
BCAT1,txn
LZTS1,txn
GUCY1B1,txn
DGAT2,txn
LTK,txn
ST3GAL6,txn
CHI3L2,txn
CALCRL,txn
MCM10,txn
MYLK,txn
ME1,txn
SLC9A7,txn
PDE4A,txn
ASPM,txn
SPI1,txn
FGFR2,txn
STAG3,txn
DDX3Y,txn
IDI1,txn
KLF6,txn
NEO1,txn
TRAM1,txn
TNFRSF1A,txn
TRO,txn
ZFY,txn
SYT1,txn
ROGDI,txn
PDZD4,txn
HYAL2,txn
IFI35,txn
PRR11,txn
MAST4,txn
SDK2,txn
BCL3,txn
RORA,txn
TGFBR3,txn
LRP6,txn
PFN2,txn
PTPN3,txn
SPTB,txn
CLTCL1,txn
JMJD6,txn
ST6GALNAC1,txn
NDST1,txn
ASNS,txn
ST6GALNAC2,txn
CFAP20,txn
VASH1,txn
TRIP13,txn
CPSF1,txn
MYO3B,txn
CYBRD1,txn
LIMS2,txn
SPEG,txn
UBE2D1,txn
RHOBTB1,txn
HMMR,txn
FCGR2B,txn
EVC,txn
MRVI1,txn
PVR,txn
LLGL2,txn
CLCN4,txn
GSDMB,txn
DHRS9,txn
PTGS2,txn
IGF2BP2,txn
TBX21,txn
