Checked,Protein FDR Confidence: Combined,Master,Accession,Description,Exp. q-value: Combined,Contaminant,Sum PEP Score,Coverage [%],# Peptides,# PSMs,# Unique Peptides,# AAs,MW [kDa],calc. pI,Score Mascot: Mascot,# Peptides (by Search Engine): Mascot,# Protein Pathway Groups,"Abundance: F17: 127N, Sample, B","Abundance: F17: 127C, Sample, A","Abundance: F17: 128C, Sample, B","Abundance: F17: 129C, Sample, A","Abundance: F17: 130N, Sample, B","Abundance: F17: 130C, Sample, A","Abundance: F17: 131N, Sample, B","Abundance: F17: 132N, Sample, A","Abundance: F17: 132C, Sample, A","Abundance: F17: 133N, Sample, B","Abundance: F17: 133C, Sample, A","Abundance: F17: 134N, Sample, B","Abundances (Normalized): F17: 127N, Sample, B","Abundances (Normalized): F17: 127C, Sample, A","Abundances (Normalized): F17: 128C, Sample, B","Abundances (Normalized): F17: 129C, Sample, A","Abundances (Normalized): F17: 130N, Sample, B","Abundances (Normalized): F17: 130C, Sample, A","Abundances (Normalized): F17: 131N, Sample, B","Abundances (Normalized): F17: 132N, Sample, A","Abundances (Normalized): F17: 132C, Sample, A","Abundances (Normalized): F17: 133N, Sample, B","Abundances (Normalized): F17: 133C, Sample, A","Abundances (Normalized): F17: 134N, Sample, B"
0,High,Master Protein,Q9Y490,Talin-1 OS=Homo sapiens OX=9606 GN=TLN1 PE=1 SV=3,0,0,4529.738,85,293,2036,264,2541,269.6,6.07,34255,293,0,62082299.4558384,70694590.884223,61845146.286251,53493692.0305516,59659097.0816269,42163432.7536435,47623294.1207558,59164718.0338882,46428994.8050784,52497354.2518664,39824435.0443693,46428783.8687009,65968635.4255793,70694590.884223,65214721.4471326,68439133.2066039,64540954.6246159,64937051.2108992,63759127.6825328,65139325.1634015,66673727.5565925,65554974.6537825,53078401.9400499,59578496.6023798
0,High,Master Protein,P35579,Myosin-9 OS=Homo sapiens OX=9606 GN=MYH9 PE=1 SV=4,0,0,3900.807,80,256,1668,221,1960,226.4,5.6,22679,256,0,74576754.6218968,79570542.3256732,77679015.7744358,61313373.851779,74919891.3694532,40630126.8191252,49003899.4843391,62348329.2841864,51007874.8314619,55328156.5989625,41677473.3271056,50358894.0223687,79245240.2697228,79570542.3256732,81911284.5585337,78443532.3325904,81050527.8472641,62575564.9777086,65607512.9167145,68644425.7591358,73249166.0444406,69089879.9601229,55548149.7386514,64621705.46823
0,High,Master Protein,P21333,Filamin-A OS=Homo sapiens OX=9606 GN=FLNA PE=1 SV=4,0,0,2590.91,71,219,1046,208,2647,280.6,6.06,15561,219,0,48479624.8743958,52563606.3739124,46736600.0649897,38003994.5594766,47483444.7250931,30681124.5187496,34380060.8584808,46323281.2452426,35658994.1840558,40609467.4065852,27890318.5259806,34450113.0625657,51514436.9158365,52563606.3739124,49283000.1649125,48621815.9059501,51368978.099511,47252835.5488289,46028791.8019884,51001126.6840013,51207614.4045616,50710224.2480658,37172493.1015017,44207187.2882571
0,High,Master Protein,P18206,Vinculin OS=Homo sapiens OX=9606 GN=VCL PE=1 SV=4,0,0,1168.112,78,114,545,114,1134,123.7,5.66,6768,114,0,28413131.8304594,30500278.8388719,29227576.7353864,21010377.1068781,26662731.0389591,16736455.588657,18702088.533764,25861868.5309647,19259047.5698025,21056765.1599974,15962491.1977308,19644704.8157502,30191786.5712403,30500278.8388719,30820014.016147,26880402.9588642,28844521.5957478,25776271.1115035,25038772.994802,28473467.2885068,27656693.7548262,26294195.6985424,21274966.5579363,25208542.6667601
0,High,Master Protein,P68133,"Actin, alpha skeletal muscle OS=Homo sapiens OX=9606 GN=ACTA1 PE=1 SV=1",0,0,1144.572,51,33,1149,2,377,42,5.39,15569,33,0,1386702.60425517,1881361.2110503,1335856.80924214,1601735.43058577,1606943.37929584,1411813.56129919,1205933.80467328,1799554.1464091,1531828.82330451,1423873.70382694,1323222.6430896,1385710.45972893,1473509.83042893,1881361.2110503,1408639.72258642,2049239.45860737,1738438.30699544,2174372.52004594,1614531.05771899,1981277.80521066,2199761.98186331,1778032.54839731,1763604.26024463,1778175.92961976
0,High,Master Protein,P63267,"Actin, gamma-enteric smooth muscle OS=Homo sapiens OX=9606 GN=ACTG2 PE=1 SV=1",0,0,1022.206,53,31,1088,1,376,41.9,5.48,15235,31,0,,,,,,,,,,,,,,,,,,,,,,,,
0,High,Master Protein,P12814,Alpha-actinin-1 OS=Homo sapiens OX=9606 GN=ACTN1 PE=1 SV=2,0,0,924.296,76,87,399,61,892,103,5.41,5039,87,0,12552408.4130149,13923126.3061241,12787474.6221273,9972151.07629274,12387371.9049561,7116561.08918591,8039189.84093165,10992978.1452105,8938085.17896085,9202876.20642667,6396751.24871659,7689401.29345285,13338185.9494458,13923126.3061241,13484188.2600527,12758240.2702171,13401020.9196114,10960409.5708745,10763046.5509669,12103077.6738407,12835415.8560088,11491899.4500137,8525653.49669414,9867218.79538935
0,High,Master Protein,P07996,Thrombospondin-1 OS=Homo sapiens OX=9606 GN=THBS1 PE=1 SV=2,0,0,730.63,40,59,383,59,1170,129.3,4.94,4561,59,0,14698762.270144,14795801.8529508,14382060.4063911,10587832.6800528,14322907.8789727,7750582.6656365,9023890.7616628,11465624.1771037,9926034.90974957,10272155.8162224,8047789.33305853,10202333.2739285,15618901.0056908,14795801.8529508,15165653.564751,13545935.299166,15494940.2979486,11936883.4699365,12081386.0924276,12623452.7315068,14254147.6520935,12827140.0295992,10726173.4277715,13091871.6289456
0,High,Master Protein,P02671,Fibrinogen alpha chain OS=Homo sapiens OX=9606 GN=FGA PE=1 SV=2,0,0,640.761,46,60,314,60,866,94.9,6.01,2873,60,0,11467910.0219504,12671985.0900426,10350381.095337,9853828.29825427,16285900.8059176,8591877.68435435,8968610.89860253,11879258.8704144,12101119.3978448,10345401.5768622,12047675.7265385,9927018.65614006,12185798.2381844,12671985.0900426,10914311.9636234,12606859.6483127,17618563.4103308,13232584.8430472,12007376.1795854,13078857.3321168,17377648.1969722,12918604.1433754,16057261.6772628,12738581.500415
0,High,Master Protein,P02647,Apolipoprotein A-I OS=Homo sapiens OX=9606 GN=APOA1 PE=1 SV=1,0,0,568.319,82,45,301,45,267,30.8,5.76,2563,45,0,11300453.5502008,10157196.3066151,12082745.650155,11081070.48979,13086961.1600896,11320693.67684,11609170.5718125,19399439.1250087,7982302.11739525,16149411.1734181,30805689.5862279,14782051.0183771,12007859.0343964,10157196.3066151,12741062.7867913,14176977.3320072,14157857.0197231,17435308.6792331,15542616.3276239,21358444.950718,11462876.5684888,20166239.9035909,41058128.5604302,18968672.0820677
