"","Protein","logFC","P.Value","adj.P.Val","UniProt.ID","Protein.name","Gene.name","Explore.384.panel","Significance","LFC"
"1","AAMDC",0.323200194656459,3.12774420848093e-05,0.000142627087697188,"Q96IU4","Protein ABHD14B","ABHD14B","Neurology",1.41836684953581e-15,0.857454480694163
"2","AARSD1",0.645154271974424,3.40142769504435e-07,1.98450561928436e-06,"P37023","Serine/threonine-protein kinase receptor R3","ACVRL1","Neurology",0,0
"3","ABHD14B",0.857454480694163,6.40521464723666e-17,1.41836684953581e-15,"Q9P0K1","Disintegrin and metalloproteinase domain-containing protein 22","ADAM22","Neurology",0,0
"4","ABL1",0.702220814661747,2.35952751551971e-13,2.6836182598693e-12,"P78325","Disintegrin and metalloproteinase domain-containing protein 8","ADAM8","Neurology",0,0
"5","ACAA1",0.974873389560549,3.80485708367794e-08,2.47146605679791e-07,"O60242","Adhesion G protein-coupled receptor B3","ADGRB3","Neurology",0,0
"6","ACADSB",0.674986530380074,2.04159864199584e-10,1.69053621262149e-09,"Q8WXG9","Adhesion G-protein coupled receptor V1","ADGRV1","Neurology_II",0,0
"7","ACE2",0.433099083988671,0.000691960318523946,0.00256675128305266,"P02771","Alpha-fetoprotein","AFP","Neurology",0,0
"8","ACHE",0.14273298412566,0.0190683544542629,0.0490640845684951,"Q5U5Z8","Cytosolic carboxypeptidase 2","AGBL2","Neurology_II",0,0
"9","ACOT13",1.95433483648009,2.11631516043181e-18,6.31223389177775e-17,"O95994","Anterior gradient protein 2 homolog","AGR2","Neurology",0,0
"10","ACOX1",0.490529231531009,3.45322306081709e-08,2.26317735577766e-07,"Q9NZD4","Alpha-hemoglobin-stabilizing protein","AHSP","Neurology",0.0022294214349252,0.539327692240733
"11","ACP1",0.273620614368253,0.000532507814135584,0.00200841334286234,"Q96BJ3","Axin interactor, dorsalization-associated protein","AIDA","Neurology_II",0,0
"12","ACP5",0.139729397918621,0.0377750431032448,0.0883331607926276,"P54819","Adenylate kinase 2, mitochondrial","AK2","Neurology_II",7.22130321734838e-07,0.90112786413693
"13","ACRBP",0.249153176829923,2.2219351027075e-07,1.32545230718654e-06,"O60218","Aldo-keto reductase family 1 member B10","AKR1B10","Neurology_II",0,0
"14","ACY1",0.647977235518265,1.14853868954066e-06,6.29864650943216e-06,"Q96B36","Proline-rich AKT1 substrate 1","AKT1S1","Neurology",2.75889212301561e-07,0.631098548848054
"15","ACY3",0.383898707070011,0.00686053646101522,0.0201947110529179,"P31751","RAC-beta serine/threonine-protein kinase","AKT2","Neurology_II",9.11300677409541e-16,1.84835860606662
"16","ACYP1",0.852756008728721,1.72680240388783e-13,2.00295374070005e-12,"P00352","Retinal dehydrogenase 1","ALDH1A1","Neurology",8.7233829870714e-07,0.690106408584705
"17","ADA",0.265234007172053,0.000115970696595662,0.000485648060385557,"P51649","Succinate-semialdehyde dehydrogenase, mitochondrial","ALDH5A1","Neurology_II",0,0
"18","ADA2",0.194804730365062,0.0261080978667607,0.0645634264505427,"Q9UKV5","E3 ubiquitin-protein ligase AMFR","AMFR","Neurology",0.010422311956164,0.282460398514182
"19","ADAMTS16",0.14181414501655,0.0213528807893211,0.0541294269105666,"Q86WK6","Amphoterin-induced protein 1","AMIGO1","Neurology_II",0,0
"20","ADAMTS4",0.164359352697231,0.038341018506098,0.0895134162087257,"Q01432","AMP deaminase 3","AMPD3","Neurology_II",0.00515534033098448,0.394434177578422
"21","ADAMTSL2",0.229847392502227,0.000264157240397344,0.00104201297392906,"Q9UJ72","Annexin A10","ANXA10","Neurology",0,0
"22","ADD1",0.683127966838438,2.32939267592275e-06,1.23125041441631e-05,"P12429","Annexin A3","ANXA3","Neurology",2.71253357343425e-15,1.0793636974556
"23","ADGRD1",0.186876885699776,0.0134108502336209,0.0364011655255502,"P08758","Annexin A5","ANXA5","Neurology",0,0
"24","ADGRF5",0.144753751572541,0.00844714023584254,0.0242782604811875,"P63010","AP-2 complex subunit beta","AP2B1","Neurology_II",0.0050251174752535,0.193165857220102
"25","ADGRG1",0.600941702357419,0.000132003695129404,0.000545752193583095,"P59780","AP-3 complex subunit sigma-2","AP3S2","Neurology_II",0.000889285883450859,0.231331599241761
"26","ADGRG2",-0.113413409821609,0.0184280693231576,0.0478802192280797,"P02749","Beta-2-glycoprotein 1","APOH","Neurology",0,0
"27","ADH1B",0.358698561628198,0.0341667065107297,0.081062729814012,"P05067","Amyloid-beta precursor protein","APP","Neurology",1.96705374849581e-09,0.390304205572755
