Checked,Protein FDR Confidence: Combined,Master,Accession,Description,Exp. q-value: Combined,Contaminant,Sum PEP Score,Coverage [%],# Peptides,# PSMs,# Unique Peptides,# AAs,MW [kDa],calc. pI,Score Mascot: Mascot,# Peptides (by Search Engine): Mascot,# Protein Pathway Groups,# Razor Peptides,Abundance Ratio Adj. P-Value: (Both) / (Control),Abundance Ratio Adj. P-Value: (Spermidine) / (Control),Abundance Ratio Adj. P-Value: (Spermine) / (Control),"Abundance: F21: 128C, Sample, Both","Abundance: F21: 131C, Sample, Both","Abundance: F21: 132C, Sample, Both","Abundance: F21: 134N, Sample, Both","Abundance: F21: 126, Sample, Control","Abundance: F21: 130N, Sample, Control","Abundance: F21: 130C, Sample, Control","Abundance: F21: 131N, Sample, Control","Abundance: F21: 127C, Sample, Spermidine","Abundance: F21: 129N, Sample, Spermidine","Abundance: F21: 132N, Sample, Spermidine","Abundance: F21: 133N, Sample, Spermidine","Abundance: F21: 127N, Sample, Spermine","Abundance: F21: 128N, Sample, Spermine","Abundance: F21: 129C, Sample, Spermine","Abundance: F21: 133C, Sample, Spermine","Abundances (Normalized): F21: 128C, Sample, Both","Abundances (Normalized): F21: 131C, Sample, Both","Abundances (Normalized): F21: 132C, Sample, Both","Abundances (Normalized): F21: 134N, Sample, Both","Abundances (Normalized): F21: 126, Sample, Control","Abundances (Normalized): F21: 130N, Sample, Control","Abundances (Normalized): F21: 130C, Sample, Control","Abundances (Normalized): F21: 131N, Sample, Control","Abundances (Normalized): F21: 127C, Sample, Spermidine","Abundances (Normalized): F21: 129N, Sample, Spermidine","Abundances (Normalized): F21: 132N, Sample, Spermidine","Abundances (Normalized): F21: 133N, Sample, Spermidine","Abundances (Normalized): F21: 127N, Sample, Spermine","Abundances (Normalized): F21: 128N, Sample, Spermine","Abundances (Normalized): F21: 129C, Sample, Spermine","Abundances (Normalized): F21: 133C, Sample, Spermine","Found in Sample: [S300] F21: 128C, Sample, Both","Found in Sample: [S306] F21: 131C, Sample, Both","Found in Sample: [S308] F21: 132C, Sample, Both","Found in Sample: [S311] F21: 134N, Sample, Both","Found in Sample: [S296] F21: 126, Sample, Control","Found in Sample: [S303] F21: 130N, Sample, Control","Found in Sample: [S304] F21: 130C, Sample, Control","Found in Sample: [S305] F21: 131N, Sample, Control","Found in Sample: [S298] F21: 127C, Sample, Spermidine","Found in Sample: [S301] F21: 129N, Sample, Spermidine","Found in Sample: [S307] F21: 132N, Sample, Spermidine","Found in Sample: [S309] F21: 133N, Sample, Spermidine","Found in Sample: [S297] F21: 127N, Sample, Spermine","Found in Sample: [S299] F21: 128N, Sample, Spermine","Found in Sample: [S302] F21: 129C, Sample, Spermine","Found in Sample: [S310] F21: 133C, Sample, Spermine",# Protein Groups,Modifications
0,High,Master Protein,Q9Y490,Talin-1 OS=Homo sapiens OX=9606 GN=TLN1 PE=1 SV=3,0,0,5338.284,84,239,2198,209,2541,269.6,6.07,40353,239,0,53,0.5881260727,0.6556148602,1,359302503.687209,267275872.182038,296099970.219034,344651852.790184,167969445.695381,191549084.685006,252169819.133039,351166436.100033,426393912.201862,395285456.615703,359599590.94686,325441108.265779,356617287.691096,241001830.757135,235012360.511415,274167108.112324,423584104.60997,396899437.244782,386228597.735045,461506821.430928,280337004.143882,231169842.52432,373421521.566007,420529662.841277,443877287.434497,395285456.615703,421241474.182853,447742975.763514,404945683.693947,337809146.498904,329102627.775667,460999090.300744,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,1,
0,High,Master Protein,P35579,Myosin-9 OS=Homo sapiens OX=9606 GN=MYH9 PE=1 SV=4,0,0,5044.245,84,263,2348,223,1960,226.4,5.6,34526,263,0,64,0.5437802224,0.6889038492,1,318391871.112127,250708464.624607,299548677.358809,315444215.384728,161869705.337,182775457.714479,232190479.597764,321562371.292976,391300966.375819,357736470.691973,320368288.029282,313099110.788004,332987836.110355,221792537.806487,222402230.746034,257403220.310781,375354288.53435,372297161.392247,390727042.370512,422396270.330235,270156682.770284,220581444.420099,343835445.822303,385078132.990353,407345430.023795,357736470.691973,375285215.357306,430762813.954787,378113993.935922,310883729.226679,311443867.898748,432811401.851811,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,1,
0,High,Master Protein,P21333,Filamin-A OS=Homo sapiens OX=9606 GN=FLNA PE=1 SV=4,0,0,4034.916,75,201,1656,189,2647,280.6,6.06,26831,201,0,19,0.651705104,0.6527929069,1,282564650.453401,214758819.121556,235019366.79249,246667039.310375,147184547.434228,167586232.247281,207371370.957729,272113559.789111,332377866.988321,312149959.282648,286846559.754996,244450022.017815,285396279.781641,207379472.894514,192842605.230205,204085379.579335,333117340.481793,318912641.671767,306555925.722301,330300041.454328,245647504.003873,202250420.468235,307082477.746514,325862075.041982,346006314.302617,312149959.282648,336017255.685172,336315165.797455,324072880.448783,290681122.71099,270049660.32535,343159961.738409,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,1,
0,High,Master Protein,P18206,Vinculin OS=Homo sapiens OX=9606 GN=VCL PE=1 SV=4,0,0,1779.244,81,112,750,112,1134,123.7,5.66,12571,112,0,0,0.6793777705,0.7291316514,1,162347860.907994,122395629.867125,161224978.083869,140619933.74972,76190832.1727248,82050915.6200643,122114994.857923,166711358.979656,215189516.69005,191504864.672563,161945052.057605,140929554.998666,176300503.469844,107371934.248651,105962827.708842,112027798.326546,191392969.969178,181755113.990971,210299572.671802,188297431.536423,127160684.171492,99022646.2008839,180831978.000559,199640581.719932,224012905.014226,191504864.672563,189705367.255119,193891357.6849,200192560.420748,150501850.349115,148386429.418577,188369470.986193,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,1,
0,High,Master Protein,P12814,Alpha-actinin-1 OS=Homo sapiens OX=9606 GN=ACTN1 PE=1 SV=2,0,0,1429.422,78,85,552,52,892,103,5.41,7549,85,0,41,0.786258544,0.9681530919,1,73474327.5168057,53816296.6785799,78461480.6761969,70066386.5093151,36586240.6258814,43947001.1391201,56793086.3398899,78909362.4998683,92878815.69049,76174571.7820727,75039357.5057734,70469813.5257111,81354340.8880597,52011611.5230892,50061171.5940866,58966746.8090071,86619372.0156193,79916146.9082356,102344041.559228,93822548.9440508,61061564.187973,53037169.8170883,84101106.1053368,94495726.8001462,96687113.9316497,76174571.7820727,87902462.5535162,96952607.4245478,92379394.7446603,72904002.6021756,70103815.328225,99149809.8517699,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,1,
0,High,Master Protein,P68032,"Actin, alpha cardiac muscle 1 OS=Homo sapiens OX=9606 GN=ACTC1 PE=1 SV=1",0,0,1266.37,53,33,1112,2,377,42,5.39,15408,33,0,18,0.9999999999,1,1,18616675.8161111,12595914.7082909,15924946.4085045,16935055.8109228,8784483.84373543,12805225.5169665,13923931.020078,20857602.1723149,23078737.2135869,19093496.650892,19135798.9849454,15790170.137649,17818790.1844555,12784700.9008639,11540643.4164792,12861679.8836777,21947322.5915688,18704686.7286956,20772274.0256022,22676923.7268901,14661094.3050271,15453908.1777051,20619023.8212231,24977445.1869954,24025031.7338743,19093496.650892,22416021.5334514,21724169.3986283,20233573.7018267,17920149.7598446,16161090.7031453,21626309.4684781,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,1,
0,High,Master Protein,P68133,"Actin, alpha skeletal muscle OS=Homo sapiens OX=9606 GN=ACTA1 PE=1 SV=1",0,0,1238.918,51,32,1095,1,377,42,5.39,15230,32,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,1,
0,High,Master Protein,P08514,Integrin alpha-IIb OS=Homo sapiens OX=9606 GN=ITGA2B PE=1 SV=3,0,0,1119.23,49,48,429,48,1039,113.3,5.38,10109,48,0,0,0.3680941759,0.5853302485,1,47672567.1682586,32622353.3220024,49052250.244322,43791612.0898194,18261571.5148877,22244991.2093722,27211156.550572,44432146.8709325,56754718.4432219,48954003.1699682,42404859.2322085,44242805.9536441,47035447.4059628,27559814.0373283,25349109.2153973,32875775.9588402,56201505.6149032,48443555.9760689,63983058.8756848,58639254.474608,30478127.9014702,26846231.7284462,40295192.809432,53208489.8273841,59081824.9294318,48954003.1699682,49673820.1744271,60869401.8385487,53409641.273916,38630234.5852313,35497956.0922048,55279070.1784229,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,1,
0,High,Master Protein,P05106,Integrin beta-3 OS=Homo sapiens OX=9606 GN=ITGB3 PE=1 SV=2,0,0,1069.01,62,56,463,56,788,87,5.24,7286,56,0,0,0.5335769116,0.7922851162,1,59986350.246885,48625959.2245725,70292076.9500067,64009427.4588692,28937238.8400458,32120302.8162609,44051309.5702243,65225629.4204616,79383043.7816192,68375979.2713951,60823831.4278063,62980048.5896274,61708876.9376547,39952805.6674176,41095178.2071796,53031002.8801757,70718306.1553806,72208597.4097048,91687987.3111847,85711964.6071944,48295562.3924969,38764191.20498,65232655.9270358,78109150.3317341,82637976.6074089,68375979.2713951,71250137.823112,86648163.5326206,70071598.3885495,56001330.5307528,57548169.413137,89169135.7647514,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,1,
0,High,Master Protein,P07996,Thrombospondin-1 OS=Homo sapiens OX=9606 GN=THBS1 PE=1 SV=2,0,0,1064.834,53,70,466,20,1170,129.3,4.94,6912,70,0,72,0.4940166562,0.6114712745,1,63871661.5191036,44926642.1748592,67058492.955331,59549394.1420915,27591098.0846116,33681648.7861388,43942042.9929653,60148851.3735744,85245477.1860232,70387955.9356459,64339237.0257369,57968851.6700259,73261847.6349096,40193382.678411,38199320.7649973,46470835.6906599,75298725.3828693,66715184.0191342,87470146.2523077,79739747.1859373,46048885.5342618,40648492.0492059,65070850.3165283,72029595.052797,88740786.6214513,70387955.9356459,75368147.6142905,79753741.8878696,83190215.4022833,56338544.212888,53492917.6305839,78138523.3495359,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,1,
