Checked,Protein FDR Confidence: Combined,Master,Accession,Description,Exp. q-value: Combined,Contaminant,Sum PEP Score,Coverage [%],# Peptides,# PSMs,# Unique Peptides,# AAs,MW [kDa],calc. pI,Score Mascot: Mascot,# Peptides (by Search Engine): Mascot,# Protein Pathway Groups,# Razor Peptides,"Abundance: F16: 127N, Sample, 5B+","Abundance: F16: 127C, Sample, 5A+","Abundance: F16: 128C, Sample, 2B+","Abundance: F16: 129C, Sample, 2A+","Abundance: F16: 130N, Sample, 4B+","Abundance: F16: 130C, Sample, 1A+","Abundance: F16: 131N, Sample, 1B+","Abundance: F16: 132N, Sample, 6B+","Abundance: F16: 132C, Sample, 4A+","Abundance: F16: 133N, Sample, 6B+","Abundance: F16: 133C, Sample, 3A+","Abundance: F16: 134N, Sample, 3B+","Abundances (Normalized): F16: 127N, Sample, n/a, n/a","Abundances (Normalized): F16: 127C, Sample, n/a, n/a","Abundances (Normalized): F16: 128C, Sample, n/a, n/a","Abundances (Normalized): F16: 129C, Sample, n/a, n/a","Abundances (Normalized): F16: 130N, Sample, n/a, n/a","Abundances (Normalized): F16: 130C, Sample, n/a, n/a","Abundances (Normalized): F16: 131N, Sample, n/a, n/a","Abundances (Normalized): F16: 132N, Sample, n/a, n/a","Abundances (Normalized): F16: 132C, Sample, n/a, n/a","Abundances (Normalized): F16: 133N, Sample, n/a, n/a","Abundances (Normalized): F16: 133C, Sample, n/a, n/a","Abundances (Normalized): F16: 134N, Sample, n/a, n/a",# Protein Groups,Modifications
0,High,Master Protein,Q9Y490,Talin-1 OS=Homo sapiens OX=9606 GN=TLN1 PE=1 SV=3,0,0,1183.126,66,145,302,145,2541,269.6,6.07,6102,145,0,0,106137343.762103,114108632.070949,105430963.08113,96906758.1009689,99348740.3163009,88609659.3302524,88893930.7889776,97229365.9685743,91358366.7782142,94399869.6725722,83883652.9507814,90931428.5924769,110858245.533053,114108632.070949,109676135.485337,108816954.170813,106848530.631284,106477048.967204,104726820.298847,109535093.09988,107389859.897528,108190777.720536,96030871.9671578,104007170.552126,1,
0,High,Master Protein,P35579,Myosin-9 OS=Homo sapiens OX=9606 GN=MYH9 PE=1 SV=4,0,0,884.296,50,116,246,116,1960,226.4,5.6,4081,116,0,0,91471172.9552172,97639802.5730235,93643256.6083868,85639406.0071056,91640245.3538141,69174952.7637866,72781411.3534089,79238340.7347892,76884054.8884266,76538091.9934175,67447275.0372366,74963193.0409156,95539735.5090633,97639802.5730235,97413797.6067466,96164803.1707053,98558124.9603304,83123497.9166548,85744501.5678169,89267053.6622694,90375607.3361732,87719567.0580435,77214336.8319322,85742737.4057936,1,
0,High,Master Protein,P21333,Filamin-A OS=Homo sapiens OX=9606 GN=FLNA PE=1 SV=4,0,0,644.762,40,83,174,83,2647,280.6,6.06,2974,83,0,0,71755037.6595876,78223211.7863461,68451796.305471,66398990.4816679,71344204.1328854,63504160.9693367,61517216.205557,67062386.4439119,65439995.7472413,66228971.5143008,53636199.2164882,59799657.7176531,74946642.7285917,78223211.7863461,71208004.4269006,74559669.9943638,76729945.0037056,76309238.83763,72474041.6996332,75550063.1877846,76923353.8516683,75904383.7731623,61403274.6378573,68398718.6330562,1,
0,High,None,P63261,"Actin, cytoplasmic 2 OS=Homo sapiens OX=9606 GN=ACTG1 PE=1 SV=1",0,0,596.746,75,39,180,17,375,41.8,5.48,3333,39,0,0,95261504.7959583,99515143.9509109,99972440.1474686,86515051.753367,92408984.5512491,77115851.070482,76891751.6919765,88002357.1136533,82019375.0252567,84649434.6105755,74109809.7074963,80413249.1740804,99498658.193189,99515143.9509109,103997825.401406,97148068.9914596,99384895.9231338,92665611.3186969,90586934.2309211,99140278.0778027,96412069.3425699,97015898.3893464,84841675.310764,91976499.7752503,1,
0,High,Master Protein,P68133,"Actin, alpha skeletal muscle OS=Homo sapiens OX=9606 GN=ACTA1 PE=1 SV=1",0,0,345.122,36,25,133,4,377,42,5.39,1636,25,0,0,5433418.96774006,7264986.83415907,4859325.84641655,5965263.14198207,6507420.80893138,5399160.20675629,4997322.72282605,6785457.24225078,5774395.80477894,5277258.32612346,5687085.38261182,5311815.35590053,5675092.97537882,7264986.83415907,5054986.35622695,6698415.86550206,6998662.98676841,6487855.27516744,5887395.39498056,7644251.13083037,6787682.16132295,6048214.7328786,6510634.06316287,6075642.86863358,1,
0,High,Master Protein Candidate,P68032,"Actin, alpha cardiac muscle 1 OS=Homo sapiens OX=9606 GN=ACTC1 PE=1 SV=1",0,0,345.122,36,25,133,4,377,42,5.39,1636,25,0,0,5433418.96774006,7264986.83415907,4859325.84641655,5965263.14198207,6507420.80893138,5399160.20675629,4997322.72282605,6785457.24225078,5774395.80477894,5277258.32612346,5687085.38261182,5311815.35590053,5675092.97537882,7264986.83415907,5054986.35622695,6698415.86550206,6998662.98676841,6487855.27516744,5887395.39498056,7644251.13083037,6787682.16132295,6048214.7328786,6510634.06316287,6075642.86863358,1,
0,High,None,P63267,"Actin, gamma-enteric smooth muscle OS=Homo sapiens OX=9606 GN=ACTG2 PE=1 SV=1",0,0,312.402,34,22,119,2,376,41.9,5.48,1578,22,0,0,1576691.81585453,1985579.78162314,1413633.01880178,1311213.3362625,1856664.62700451,1109364.5470875,1241134.02713996,1911757.32868199,1322815.8689625,1459444.6568625,1256299.2123,1242975.99195,1646821.77126771,1985579.78162314,1470552.88091548,1472366.26543188,1996823.37832283,1333058.54119662,1462192.28999589,2153716.7798589,1554942.53944987,1672655.40740372,1438224.30908689,1421713.24027385,1,
0,High,None,P62736,"Actin, aortic smooth muscle OS=Homo sapiens OX=9606 GN=ACTA2 PE=1 SV=1",0,0,312.402,33,22,119,2,377,42,5.39,1578,22,0,0,1576691.81585453,1985579.78162314,1413633.01880178,1311213.3362625,1856664.62700451,1109364.5470875,1241134.02713996,1911757.32868199,1322815.8689625,1459444.6568625,1256299.2123,1242975.99195,1646821.77126771,1985579.78162314,1470552.88091548,1472366.26543188,1996823.37832283,1333058.54119662,1462192.28999589,2153716.7798589,1554942.53944987,1672655.40740372,1438224.30908689,1421713.24027385,1,
0,High,Master Protein,P18206,Vinculin OS=Homo sapiens OX=9606 GN=VCL PE=1 SV=4,0,0,280.813,50,51,83,51,1134,123.7,5.66,1217,51,0,0,32994897.6579378,34838332.2408262,33653379.5094161,28702665.4849396,31288966.3032703,26158158.8931426,26337676.1333313,29136365.4604567,27402761.303309,26946104.7373476,24098466.6135576,26345084.7935297,34462483.5731725,34838332.2408262,35008431.1358698,32230328.367817,33650955.8534146,31432730.7700881,31028677.1101658,32823977.319103,32211375.9357342,30882670.0522416,27588173.3873611,30133450.7743294,1,
0,High,Master Protein,P08514,Integrin alpha-IIb OS=Homo sapiens OX=9606 GN=ITGA2B PE=1 SV=3,0,0,217.854,34,27,52,27,1039,113.3,5.38,1175,27,0,0,15169275.7227381,15893715.4995465,15509717.2629743,15091532.3767731,15261374.5406384,12570397.3045524,13803864.5291285,13475657.8753952,13265881.8982591,13482624.354845,11043766.9190347,11898317.9226122,15843992.6327827,15893715.4995465,16134215.2453285,16946337.0686656,16413448.6244044,15105111.7840949,16262469.5200329,15181189.6052127,15593768.241607,15452305.386904,12643018.3919056,13609270.2008085,1,
