Checked,Protein FDR Confidence: Combined,Master,Accession,Description,Exp. q-value: Combined,Contaminant,Sum PEP Score,Coverage [%],# Peptides,# PSMs,# Unique Peptides,# AAs,MW [kDa],calc. pI,Score MS Amanda 2.0: MS Amanda 2.0,# Peptides (by Search Engine): MS Amanda 2.0,# Protein Pathway Groups,"Abundance: F2: 126, Sample, Control","Abundance: F2: 127N, Sample, HC-like","Abundance: F2: 127C, Sample, HC-like","Abundance: F2: 128N, Sample, At risk","Abundance: F2: 128C, Sample, HC-like","Abundance: F2: 129N, Sample, Control","Abundance: F2: 129C, Sample, Control","Abundance: F2: 130N, Sample, At risk","Abundance: F2: 130C, Sample, SPD","Abundance: F2: 131N, Sample, SPD","Abundance: F2: 131C, Sample, At risk","Abundance: F2: 132N, Sample, SPD","Abundances (Normalized): F2: 126, Sample, Control","Abundances (Normalized): F2: 127N, Sample, HC-like","Abundances (Normalized): F2: 127C, Sample, HC-like","Abundances (Normalized): F2: 128N, Sample, At risk","Abundances (Normalized): F2: 128C, Sample, HC-like","Abundances (Normalized): F2: 129N, Sample, Control","Abundances (Normalized): F2: 129C, Sample, Control","Abundances (Normalized): F2: 130N, Sample, At risk","Abundances (Normalized): F2: 130C, Sample, SPD","Abundances (Normalized): F2: 131N, Sample, SPD","Abundances (Normalized): F2: 131C, Sample, At risk","Abundances (Normalized): F2: 132N, Sample, SPD","Found in Sample: F2: 126, Sample, Control","Found in Sample: F2: 127N, Sample, HC-like","Found in Sample: F2: 127C, Sample, HC-like","Found in Sample: F2: 128N, Sample, At risk","Found in Sample: F2: 128C, Sample, HC-like","Found in Sample: F2: 129N, Sample, Control","Found in Sample: F2: 129C, Sample, Control","Found in Sample: F2: 130N, Sample, At risk","Found in Sample: F2: 130C, Sample, SPD","Found in Sample: F2: 131N, Sample, SPD","Found in Sample: F2: 131C, Sample, At risk","Found in Sample: F2: 132N, Sample, SPD",# Protein Groups,Modifications
0,High,Master Protein,Q14204,Cytoplasmic dynein 1 heavy chain 1 OS=Homo sapiens OX=9606 GN=DYNC1H1 PE=1 SV=5,0,0,437.836,23,97,114,97,4646,532.1,6.4,28249.67,97,0,21693746.7896789,18818708.8579608,19866463.2045727,19803266.4800602,18928770.7847487,20637505.4431769,19687320.3944349,16353772.8400645,20129519.410377,19852204.2431956,19817629.9963839,20298520.6686835,21693746.7896789,22385342.3177155,22014560.3162438,22322853.3555217,22088913.1963122,22682374.3066424,22190662.838273,21658886.5763849,22462783.8419305,22412440.2058474,21780468.2389325,23040404.0277195,High,High,High,High,High,High,High,High,High,High,High,High,1,
0,High,Master Protein,Q9BVA1,Tubulin beta-2B chain OS=Homo sapiens OX=9606 GN=TUBB2B PE=1 SV=1,0,0,369.505,43,25,171,2,445,49.9,4.89,42304.59,25,0,3456960.23510328,2868996.91931835,2882370.9283875,3065615.95942852,2644170.54587228,2981302.72365606,3175257.39650625,2319912.42619177,3305222.88514687,3232939.58176407,3054815.02394062,3056261.94735469,3456960.23510328,3412746.25332461,3194032.47590487,3455656.95313825,3085612.60148376,3276705.34045755,3579007.44737818,3072484.89981076,3688339.78123603,3649875.05557422,3357379.34439653,3469095.66618008,High,High,High,High,High,High,High,High,High,High,High,High,1,
0,High,Master Protein,Q13885,Tubulin beta-2A chain OS=Homo sapiens OX=9606 GN=TUBB2A PE=1 SV=1,0,0,364.443,43,25,170,2,445,49.9,4.89,41835.22,25,0,2329752.29019844,1901448.2316408,2016768.99165621,1994312.55324049,1877228.60964375,2192721.53377062,1999375.76984062,1531651.62276328,2189113.56227433,2061379.50198023,1959638.97679286,2026459.74776953,2329752.29019844,2261821.992463,2234835.77089487,2248050.67971433,2190630.3520493,2409987.52083498,2253606.51966061,2028514.71011597,2442859.35259127,2327224.94004799,2153731.52599979,2300189.85602996,High,High,High,High,High,High,High,High,High,High,High,High,1,
0,High,Master Protein,P08670,Vimentin OS=Homo sapiens OX=9606 GN=VIM PE=1 SV=4,0,0,344.104,81,57,109,54,466,53.6,5.12,27353.97,57,0,31815320.1507068,26103880.0132351,31247279.5969443,28223468.1355338,25775256.4145651,34472986.3764124,26183141.0510373,22400278.5124248,27017691.0497198,28835721.137597,29520571.0157002,27459111.2837675,31815320.1507068,31051242.3741359,34625947.9768462,31814364.6154604,30078413.8615462,37888744.965351,29512459.9727018,29666860.1383195,30149381.1941213,32554514.7466633,32444437.5800704,31168232.8257641,High,High,High,High,High,High,High,High,High,High,High,High,1,
0,High,Master Protein,P07437,Tubulin beta chain OS=Homo sapiens OX=9606 GN=TUBB PE=1 SV=2,0,0,328.63,42,24,145,5,444,49.6,4.89,36393.94,24,0,3261218.07560898,2830883.58984101,3156708.90639471,3106425.17314813,2969007.00172505,3037194.46697332,3225779.67781599,2466343.15509479,3054553.10208984,3066748.89998649,2975181.01434354,3105764.18919053,3261218.07560898,3367409.45930448,3498033.74184162,3501658.35873133,3464680.23127991,3338135.12159381,3635953.89249632,3266417.30792384,3408614.21811051,3462251.62230305,3269857.97998088,3525284.57131223,High,High,High,High,High,High,High,High,High,High,High,High,1,
0,High,Master Protein,P68371,Tubulin beta-4B chain OS=Homo sapiens OX=9606 GN=TUBB4B PE=1 SV=1,0,0,324.725,41,23,130,1,445,49.8,4.89,32304.02,23,0,851197.318434375,781250.182453125,853068.433750143,793791.025407932,751635.555,848812.855893751,741966.985443751,681169.72171875,779523.659578123,790018.493137501,766835.802665623,825870.495037501,851197.318434375,929317.356572672,945307.994447323,894785.750267629,877120.480693556,932917.545033895,836311.843422138,902139.089631376,869880.254356561,891903.086531398,842787.096513684,937427.420984112,High,High,High,High,High,High,High,High,High,High,High,High,1,
0,High,Master Protein,Q13509,Tubulin beta-3 chain OS=Homo sapiens OX=9606 GN=TUBB3 PE=1 SV=2,0,0,298.96,42,24,123,8,450,50.4,4.93,31131.24,24,0,3812615.75871594,3234922.92484,3435466.16173471,3662807.52474231,3257231.89199856,3281563.46158976,4034951.16546919,2824647.17538529,3516653.07243567,3449069.74556598,3462257.37737273,3305810.70303216,3812615.75871594,3848024.72850497,3806932.12743149,4128829.7224426,3801024.02532057,3606717.43742116,4548015.6307678,3740954.05312814,3924277.38599965,3893878.4072197,3805176.84791956,3752352.96602332,High,High,High,High,High,High,High,High,High,High,High,High,1,
0,High,Master Protein,P08238,Heat shock protein HSP 90-beta OS=Homo sapiens OX=9606 GN=HSP90AB1 PE=1 SV=4,0,0,259.253,44,36,64,20,724,83.2,5.03,17270.71,36,0,9834675.93756995,7833667.11568557,8246543.7353563,8242377.66140381,8051553.58439861,8708258.59339548,8970041.32067682,7309158.41032108,8966429.41627072,8506656.75469548,8394787.01023764,8785158.83000041,9834675.93756995,9318350.22855305,9138216.12801002,9291062.56392636,9395753.70443676,9571117.08671829,10110627.4802529,9680226.97430044,10005751.3398848,9603716.21864748,9226249.14696896,9971840.42102041,High,High,High,High,High,High,High,High,High,High,High,High,1,
0,High,Master Protein,P07900,Heat shock protein HSP 90-alpha OS=Homo sapiens OX=9606 GN=HSP90AA1 PE=1 SV=5,0,0,254.342,42,35,63,21,732,84.6,5.02,16907.25,35,0,14490132.0281766,12369043.5918463,12676021.2663184,12933261.6416953,12461142.7517047,12493951.1754421,12801776.072955,11572123.9014174,12171147.3030205,12016955.2453513,13083825.1540477,12296241.7730897,14490132.0281766,14713298.188313,14046638.8940898,14578771.8065025,14541520.085976,13731915.318476,14429586.7022268,15326085.392029,13581936.3295433,13566719.7250952,14379713.3291659,13957193.3885605,High,High,High,High,High,High,High,High,High,High,High,High,1,
0,High,Master Protein,Q71U36,Tubulin alpha-1A chain OS=Homo sapiens OX=9606 GN=TUBA1A PE=1 SV=1,0,0,249.817,46,25,93,10,451,50.1,5.06,25292.52,25,0,22403787.0593981,21600746.2690701,23236289.1084344,22330688.1364795,21346291.9642374,23037292.0251297,18621580.9779358,17009839.1742423,22362494.143411,20447801.4749908,20351403.6467214,20856081.9232803,22403787.0593981,25694647.9804165,25748754.7147077,25171841.0748268,24910037.5097303,25319943.9323797,20989409.260276,22527778.8165737,24954588.4265337,23084848.5279083,22367109.5295447,23673279.5355357,High,High,High,High,High,High,High,High,High,High,High,High,1,
0,High,Master Protein,P11021,Endoplasmic reticulum chaperone BiP OS=Homo sapiens OX=9606 GN=HSPA5 PE=1 SV=2,0,0,233.386,54,37,62,35,654,72.3,5.16,16032.97,37,0,15564318.9986732,14630586.5127181,15772816.5649801,15229969.2081044,14752005.8237102,15795184.4446653,14234540.3067034,12941246.0036793,13859422.4261267,13920342.5795735,15988963.9627137,14351918.6073409,15564318.9986732,17403462.1539724,17478280.7614635,17167691.4807941,17214840.8270638,17360251.5479798,16044534.1608375,17139346.5038298,15465903.7697442,15715577.0657828,17572591.7693925,16290546.9163692,High,High,High,High,High,High,High,High,High,High,High,High,1,
0,High,Master Protein,P04350,Tubulin beta-4A chain OS=Homo sapiens OX=9606 GN=TUBB4A PE=1 SV=2,0,0,226.893,41,20,103,5,444,49.6,4.88,23767.45,20,0,1112699.86338769,999389.538013365,1093403.05176637,1125138.02827762,1052532.87858384,1021126.59690937,1082698.68980492,811326.815534425,1059916.33019227,1064200.49391562,1051503.34625911,1037624.22859219,1112699.86338769,1188799.7782435,1211629.22585714,1268290.32146043,1228252.36016041,1122305.00674315,1220369.30875024,1074518.74536191,1182773.96147707,1201444.91990567,1155649.55246952,1177784.42310817,High,High,High,High,High,High,High,High,High,High,High,High,1,
0,High,Master Protein,Q00610,Clathrin heavy chain 1 OS=Homo sapiens OX=9606 GN=CLTC PE=1 SV=5,0,0,212.653,26,42,58,42,1675,191.5,5.69,14618.04,42,0,10615126.1479026,9484171.45584456,10014120.776705,9805982.08732994,9706015.30082516,10047907.9275249,9488355.27020643,7747039.08094535,9955868.83670123,9505627.37973522,9502115.50622127,9709115.69510716,10615126.1479026,11281667.9529624,11096915.6201985,11053605.7454332,11326426.4172266,11043505.6813589,10694847.6721301,10260154.7910675,11109879.2315005,10731518.9113271,10443253.0541585,11020603.521727,High,High,High,High,High,High,High,High,High,High,High,High,1,
0,High,Master Protein,P60709,"Actin, cytoplasmic 1 OS=Homo sapiens OX=9606 GN=ACTB PE=1 SV=1",0,0,206.855,43,21,101,3,375,41.7,5.48,25025.4,21,0,4475195.47160243,3923561.22570155,4305152.44926269,4150612.97392129,4077307.90221325,4013496.94426618,4242077.02519219,3379928.04976406,4177322.3479329,4227300.58227247,4301465.15770166,4111422.89793575,4475195.47160243,4667177.84970089,4770654.81102361,4678699.08460117,4758011.03784256,4411174.60727353,4781478.59200959,4476366.33956652,4661526.53854766,4772473.64432084,4727504.00856665,4666785.63642346,High,High,High,High,High,High,High,High,High,High,High,High,1,
0,High,Master Protein,P11142,Heat shock cognate 71 kDa protein OS=Homo sapiens OX=9606 GN=HSPA8 PE=1 SV=1,0,0,199.993,40,27,51,22,646,70.9,5.52,13468.91,27,0,17095249.6800278,14212577.6604585,14811469.2685802,14725378.18529,14595450.8343455,14262281.8383357,15868543.2253212,12675794.0891841,14031741.957105,14358949.4473163,15101678.3894657,14215453.1402574,17095249.6800278,16906229.7816405,16412986.057342,16598900.9018187,17032149.1134893,15675461.1653374,17886308.8217532,16787782.8026726,15658197.3013082,16210748.7896245,16597424.9482076,16135647.9683741,High,High,High,High,High,High,High,High,High,High,High,High,1,
0,High,Master Protein,P22314,Ubiquitin-like modifier-activating enzyme 1 OS=Homo sapiens OX=9606 GN=UBA1 PE=1 SV=3,0,0,186.784,28,30,49,30,1058,117.8,5.76,12857.03,30,0,13857357.5459148,11265425.6068515,11607886.5099585,11847020.3450753,11328928.6750738,12388345.0065454,12636247.0824867,10361936.5119377,11980145.80794,12006894.0386155,11624146.0097947,12448844.6312809,13857357.5459148,13400515.968844,12863010.1435858,13354327.0818115,13220283.8185638,13615845.1539592,14243009.8627256,13723316.9262289,13368795.3593089,13555360.9766357,12775460.1845551,14130409.5340078,High,High,High,High,High,High,High,High,High,High,High,High,1,
0,High,Master Protein,Q01082,"Spectrin beta chain, non-erythrocytic 1 OS=Homo sapiens OX=9606 GN=SPTBN1 PE=1 SV=2",0,0,175.232,19,40,45,36,2364,274.4,5.57,10741.17,40,0,7068050.29305941,6119421.85378636,6393249.6333071,6574213.69085977,6252853.65062346,6648091.74129906,6414353.05802741,4924644.72593814,6556068.70032841,6608635.91301404,6494097.34280846,6485166.61230475,7068050.29305941,7279211.02438271,7084531.26356419,7410656.63569657,7296762.32484945,7306818.43870326,7229970.51831225,6522184.36633646,7315999.50629749,7460917.45924938,7137305.56789003,7361169.87900029,High,High,High,High,High,High,High,High,High,High,High,High,1,
0,High,Master Protein,P46821,Microtubule-associated protein 1B OS=Homo sapiens OX=9606 GN=MAP1B PE=1 SV=2,0,0,174.755,16,34,43,33,2468,270.5,4.81,11564.25,34,0,11745076.5036587,10322791.0684643,11526169.0814451,11142734.3886548,10450632.8208735,11636472.5188778,11238594.7324951,8840531.64874302,10864309.7009285,10582906.0345962,10638319.8567937,10541247.9556483,11745076.5036587,12279227.7348016,12772456.8709489,12560434.2085646,12195357.2079176,12789473.3212249,12667638.941625,11708372.9930488,12123619.8156792,11947728.6148608,11691992.8265277,11965138.5349089,High,High,High,High,High,High,High,High,High,High,High,High,1,
0,High,Master Protein,Q16352,Alpha-internexin OS=Homo sapiens OX=9606 GN=INA PE=1 SV=2,0,0,174.734,51,33,53,27,499,55.4,5.4,13310.33,33,0,13541156.8745292,10379573.2049087,10305170.2658218,10816217.5277396,10490973.8533581,11794359.2897004,11416747.9200304,8121168.75300958,11017550.1048813,11911243.9070261,11638044.9934195,9856634.26060527,13541156.8745292,12346771.558952,11419435.3594795,12192374.3225022,12242433.1419514,12963004.3152554,12868445.2087529,10755650.9809282,12294622.7094725,13447375.3429667,12790735.7937701,11188048.5984468,High,High,High,High,High,High,High,High,High,High,High,High,1,
0,High,Master Protein,Q14195,Dihydropyrimidinase-related protein 3 OS=Homo sapiens OX=9606 GN=DPYSL3 PE=1 SV=1,0,0,170.864,48,24,46,18,570,61.9,6.49,13144.8,24,0,8574242.65156687,7439150.28714798,8110024.97386641,8011174.64294016,7640069.42344554,7972114.74518304,8185465.04749899,6208261.66508153,8031944.63415712,7843923.65858944,7864407.41269767,7752613.61828032,8574242.65156687,8849062.22778898,8986936.02957628,9030443.38366563,8915572.60782413,8762032.36692686,9226288.36247639,8222202.70243092,8962948.02023028,8855513.8675658,8643338.07329845,8799821.07817137,High,High,High,High,High,High,High,High,High,High,High,High,1,
0,High,Master Protein,Q16555,Dihydropyrimidinase-related protein 2 OS=Homo sapiens OX=9606 GN=DPYSL2 PE=1 SV=1,0,0,168.391,41,19,41,14,572,62.3,6.38,12401.97,19,0,5717248.6908595,5457263.99108704,5899672.67612474,5782139.80840546,5392585.17934344,5320956.86857565,5424679.82824357,4659127.09048623,5498591.20776961,5162090.64281522,5758115.06596318,5260450.74498254,5717248.6908595,6491557.07124655,6537585.40899969,6517806.50197902,6292872.75358689,5848184.30186947,6114455.32771243,6170533.62454592,6135947.07440437,5827818.73750442,6328427.88634229,5971021.85477521,High,High,High,High,High,High,High,High,High,High,High,High,1,
0,High,Master Protein,P68366,Tubulin alpha-4A chain OS=Homo sapiens OX=9606 GN=TUBA4A PE=1 SV=1,0,0,166.364,34,17,53,2,448,49.9,5.06,14741.85,17,0,3248218.49292832,3065769.29590998,3020907.95551871,3015554.39254394,2900269.67128636,3179832.55362621,2248076.75461875,1869600.25536797,2881809.96024908,2702721.52474628,2686332.15473905,3215211.54548086,3248218.49292832,3646812.09928251,3347549.06858711,3399226.00941303,3384467.26115775,3494906.51437442,2533931.09355833,2476092.84231904,3215847.97385807,3051277.52184973,2952400.06934195,3649515.85643171,High,High,High,High,High,High,High,High,High,High,High,High,1,
0,High,Master Protein,Q13813,"Spectrin alpha chain, non-erythrocytic 1 OS=Homo sapiens OX=9606 GN=SPTAN1 PE=1 SV=3",0,0,165.805,17,40,42,40,2472,284.4,5.35,10414.58,40,0,10198638.597189,8791932.68799232,9103645.38370034,9501174.41038253,8856842.66504698,9790787.28303211,8839056.87645487,7258376.96588954,9603703.0840646,9396214.65160319,9373099.85931102,8912004.26010656,10198638.597189,10458231.98289,10087993.4356427,10710017.1217592,10335485.1218995,10760908.217416,9962987.70091505,9612972.18509161,10716893.0395932,10607995.7903186,10301459.045472,10115819.8767856,High,High,High,High,High,High,High,High,High,High,High,High,1,
0,High,Master Protein,P35580,Myosin-10 OS=Homo sapiens OX=9606 GN=MYH10 PE=1 SV=3,0,0,165.723,22,37,41,34,1976,228.9,5.54,10519.92,37,0,10108046.672092,7781980.88138612,8362592.86507862,8242717.22864419,8132945.74284275,8844940.48960677,9171690.21569502,7345282.81776625,8892084.365873,8971729.7221319,8587949.2872865,8518966.09419494,10108046.672092,9256868.11218473,9266813.2788774,9291445.33460305,9490734.21548937,9721342.11945504,10337917.0530037,9728070.02869199,9922788.76324523,10128767.2379869,9438543.19227056,9669690.90567842,High,High,High,High,High,High,High,High,High,High,High,High,1,
0,High,Master Protein,Q9BUF5,Tubulin beta-6 chain OS=Homo sapiens OX=9606 GN=TUBB6 PE=1 SV=1,0,0,165.556,33,14,87,4,446,49.8,4.88,19857.37,14,0,806775.250726095,811561.579107731,819875.902828126,840291.930128491,806053.808767969,778183.289138827,777381.613928373,658356.878695313,739080.170142188,745506.897424142,764715.831773438,818744.614075782,806775.250726095,965373.549128858,908526.461342662,947203.005674525,940623.816300751,855289.64205588,876229.621184677,871925.83032041,824748.855911722,841651.060853472,840457.152988997,929338.990349621,High,High,High,High,High,High,High,High,High,High,High,High,1,
0,High,Master Protein,P68032,"Actin, alpha cardiac muscle 1 OS=Homo sapiens OX=9606 GN=ACTC1 PE=1 SV=1",0,0,161.966,35,17,85,1,377,42,5.39,20912.73,17,0,3879111.5042625,4188004.30496251,4610959.92315661,4525953.42210001,3846983.54617501,5800132.79463751,2234575.572075,3118952.057925,4124596.73835002,3607507.93218751,3996682.19362502,4167719.21898751,3879111.5042625,4981739.75176799,5109528.2687635,5101794.4255403,4489234.22368069,6374839.41256555,2518713.16731221,4130730.53664317,4602689.36778124,4072749.5461863,4392533.79921011,4730686.3513316,High,High,High,High,High,High,High,High,High,High,High,High,1,
0,High,Master Protein,P14625,Endoplasmin OS=Homo sapiens OX=9606 GN=HSP90B1 PE=1 SV=1,0,0,158.479,33,33,49,31,803,92.4,4.84,11617.9,33,0,11529002.613595,9608054.79193002,9987117.26435209,9880094.17942738,9918790.07913116,10965856.9942455,10371802.2313436,8338108.87961047,9988199.13160746,10264482.932845,10361281.8680219,10220496.6589407,11529002.613595,11429030.3945978,11066992.3044416,11137147.1836817,11574723.7663684,12052409.8041522,11690629.3863157,11042965.8190311,11145957.0141449,11588240.1348545,11387515.5950664,11601060.7979553,High,High,High,High,High,High,High,High,High,High,High,High,1,
0,High,Master Protein,P62805,Histone H4 OS=Homo sapiens OX=9606 GN=H4C16 PE=1 SV=2,0,0,147.402,62,17,48,17,103,11.4,11.36,11170.73,17,0,19444662.3561638,15363362.1958165,14555106.8322791,14211063.7381493,16207148.4075536,15725201.8802444,15930350.2609015,13603309.5538846,17091210.0708549,17344719.4444666,15393610.1174866,16443545.5033758,19444662.3561638,18275117.8362014,16128903.9709306,16019149.7787548,18912918.2452062,17283334.7556135,17955974.93477,18016181.438526,19072296.2427373,19581578.0793988,16918271.0701332,18664706.568025,High,High,High,High,High,High,High,High,High,High,High,High,1,
0,High,Master Protein,P06576,"ATP synthase subunit beta, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5F1B PE=1 SV=3",0,0,147.06,44,19,33,19,529,56.5,5.4,9206.23,19,0,6558510.16214558,5649895.40557153,5778615.62525852,5827331.24340428,5793587.28678957,5832738.21010332,5764477.91248324,4555280.68421566,6006688.12016817,5875126.29961061,5700724.15670113,5811084.32280899,6558510.16214558,6720697.13536721,6403438.84649593,6568747.68268877,6760821.82664834,6410675.53820851,6497460.45839466,6032999.76267954,6702938.80834898,6632810.9100004,6265352.69134604,6596033.90917202,High,High,High,High,High,High,High,High,High,High,High,High,1,
